Time, n - aac oeeuo?a	 "/s - aac oeeuo?a	Time, n - oeeuo? 3Ao	 "/s - oeeuo? 3Ao	
0	258	0	232	
1	261	1	236	
2	266	2	239	
3	273	3	243	
4	279	4	247	
5	284	5	251	
6	286	6	255	
7	286	7	259	
8	290	8	262	
9	294	9	266	
10	300	10	269	
11	306	11	273	
12	308	12	277	
13	310	13	281	
14	311	14	285	
15	314	15	288	
16	316	16	291	
17	318	17	294	
18	319	18	297	
19	318	19	300	
20	317	20	302	
21	313	21	303	
22	311	22	304	
23	311	23	305	
24	310	24	306	
25	307	25	306	
26	303	26	306	
27	297	27	305	
28	293	28	304	
29	291	29	303	
30	289	30	301	
31	286	31	299	
32	282	32	298	
33	277	33	295	
34	272	34	293	
35	267	35	290	
36	262	36	287	
37	256	37	284	
38	251	38	280	
39	247	39	276	
40	243	40	273	
41	238	41	269	
42	234	42	265	
43	232	43	261	
44	231	44	257	
45	228	45	254	
46	225	46	251	
47	222	47	248	
48	218	48	244	
49	216	49	241	
50	213	50	238	
51	211	51	235	
52	212	52	232	
53	213	53	230	
54	213	54	228	
55	215	55	226	
56	215	56	225	
57	214	57	223	
58	217	58	222	
59	221	59	222	
60	225	60	222	
61	229	61	223	
62	232	62	224	
63	236	63	225	
64	240	64	226	
65	241	65	228	
66	244	66	230	
67	251	67	232	
68	258	68	235	
69	266	69	238	
70	270	70	242	
71	271	71	245	
72	275	72	248	
73	281	73	252	
74	288	74	256	
75	294	75	260	
76	299	76	264	
77	301	77	269	
78	304	78	273	
79	306	79	276	
80	309	80	280	
81	314	81	284	
82	318	82	288	
83	320	83	292	
84	321	84	295	
85	319	85	298	
86	318	86	300	
87	321	87	303	
88	325	88	305	
89	328	89	308	
90	327	90	310	
91	323	91	312	
92	319	92	313	
93	316	93	313	
94	313	94	314	
95	312	95	313	
96	310	96	313	
97	305	97	313	
98	300	98	311	
99	294	99	310	
100	288	100	307	
101	286	101	305	
102	287	102	303	
103	286	103	301	
104	282	104	299	
105	274	105	296	
106	266	106	293	
107	262	107	290	
108	258	108	286	
109	255	109	283	
110	252	110	279	
111	246	111	276	
112	239	112	272	
113	234	113	267	
114	230	114	263	
115	227	115	259	
116	226	116	255	
117	224	117	252	
118	220	118	248	
119	216	119	244	
120	214	120	241	
121	215	121	238	
122	217	122	235	
123	218	123	233	
124	218	124	231	
125	216	125	230	
126	213	126	228	
127	213	127	226	
128	215	128	224	
129	220	129	224	
130	225	130	223	
131	228	131	224	
132	231	132	225	
133	234	133	225	
134	239	134	227	
135	247	135	229	
136	254	136	231	
137	258	137	234	
138	261	138	237	
139	264	139	240	
140	267	140	243	
141	270	141	246	
142	276	142	249	
143	281	143	253	
144	281	144	256	
145	259	145	258	
146	219	146	256	
147	154	147	248	
148	77	148	232	
149	-2	149	209	
150	-73	150	179	
151	-130	151	145	
152	-181	152	109	
153	-219	153	72	
154	-263	154	35	
155	-306	155	-3	
156	-343	156	-42	
157	-376	157	-80	
158	-395	158	-116	
159	-411	159	-150	
160	-426	160	-183	
161	-444	161	-213	
162	-466	162	-241	
163	-483	163	-269	
164	-496	164	-296	
165	-500	165	-320	
166	-505	166	-342	
167	-516	167	-362	
168	-527	168	-381	
169	-542	169	-399	
170	-553	170	-417	
171	-556	171	-433	
172	-560	172	-448	
173	-561	173	-462	
174	-568	174	-474	
175	-581	175	-486	
176	-587	176	-498	
177	-593	177	-509	
178	-595	178	-519	
179	-593	179	-528	
180	-597	180	-536	
181	-604	181	-543	
182	-617	182	-551	
183	-622	183	-560	
184	-624	184	-567	
185	-620	185	-574	
186	-618	186	-579	
187	-623	187	-584	
188	-630	188	-589	
189	-640	189	-595	
190	-643	190	-600	
191	-639	191	-605	
192	-635	192	-609	
193	-634	193	-612	
194	-637	194	-615	
195	-644	195	-618	
196	-647	196	-621	
197	-646	197	-624	
198	-641	198	-627	
199	-634	199	-628	
200	-635	200	-629	
201	-640	201	-630	
202	-645	202	-631	
203	-644	203	-633	
204	-637	204	-634	
205	-625	205	-633	
206	-616	206	-632	
207	-618	207	-630	
208	-622	208	-629	
209	-624	209	-628	
210	-622	210	-628	
211	-612	211	-626	
212	-604	212	-624	
213	-601	213	-621	
214	-604	214	-619	
215	-610	215	-618	
216	-611	216	-617	
217	-603	217	-616	
218	-592	218	-614	
219	-584	219	-610	
220	-581	220	-607	
221	-586	221	-604	
222	-592	222	-602	
223	-591	223	-601	
224	-583	224	-600	
225	-575	225	-597	
226	-570	226	-594	
227	-577	227	-591	
228	-587	228	-590	
229	-590	229	-590	
230	-588	230	-590	
231	-579	231	-589	
232	-572	232	-587	
233	-572	233	-586	
234	-577	234	-584	
235	-585	235	-584	
236	-589	236	-584	
237	-584	237	-585	
238	-577	238	-584	
239	-574	239	-583	
240	-580	240	-582	
241	-591	241	-583	
242	-602	242	-584	
243	-603	243	-587	
244	-597	244	-588	
245	-592	245	-589	
246	-593	246	-589	
247	-603	247	-590	
248	-614	248	-593	
249	-618	249	-595	
250	-618	250	-598	
251	-613	251	-600	
252	-608	252	-601	
253	-614	253	-603	
254	-622	254	-604	
255	-631	255	-607	
256	-634	256	-610	
257	-630	257	-613	
258	-623	258	-614	
259	-621	259	-615	
260	-626	260	-616	
261	-635	261	-618	
262	-642	262	-620	
263	-640	263	-623	
264	-634	264	-625	
265	-628	265	-625	
266	-628	266	-626	
267	-634	267	-626	
268	-642	268	-628	
269	-644	269	-630	
270	-637	270	-631	
271	-628	271	-631	
272	-621	272	-630	
273	-622	273	-629	
274	-626	274	-629	
275	-630	275	-628	
276	-628	276	-629	
277	-617	277	-628	
278	-604	278	-626	
279	-598	279	-623	
280	-602	280	-620	
281	-606	281	-618	
282	-608	282	-617	
283	-604	283	-616	
284	-593	284	-614	
285	-586	285	-611	
286	-585	286	-608	
287	-589	287	-605	
288	-593	288	-604	
289	-591	289	-602	
290	-580	290	-600	
291	-570	291	-597	
292	-564	292	-594	
293	-565	293	-590	
294	-570	294	-587	
295	-574	295	-586	
296	-572	296	-584	
297	-566	297	-582	
298	-561	298	-580	
299	-562	299	-578	
300	-569	300	-576	
301	-575	301	-576	
302	-577	302	-576	
303	-573	303	-576	
304	-566	304	-575	
305	-564	305	-574	
306	-570	306	-573	
307	-577	307	-573	
308	-583	308	-574	
309	-582	309	-575	
310	-578	310	-576	
311	-575	311	-576	
312	-580	312	-576	
313	-588	313	-577	
314	-600	314	-579	
315	-606	315	-582	
316	-603	316	-585	
317	-596	317	-586	
318	-593	318	-587	
319	-598	319	-588	
320	-607	320	-590	
321	-616	321	-593	
322	-616	322	-595	
323	-613	323	-598	
324	-611	324	-599	
325	-614	325	-601	
326	-622	326	-603	
327	-629	327	-606	
328	-633	328	-609	
329	-631	329	-612	
330	-626	330	-614	
331	-622	331	-615	
332	-625	332	-616	
333	-630	333	-617	
334	-634	334	-619	
335	-634	335	-621	
336	-626	336	-622	
337	-619	337	-622	
338	-617	338	-621	
339	-622	339	-621	
340	-628	340	-622	
341	-630	341	-623	
342	-624	342	-623	
343	-615	343	-623	
344	-609	344	-621	
345	-608	345	-620	
346	-612	346	-619	
347	-614	347	-618	
348	-609	348	-617	
349	-599	349	-616	
350	-589	350	-613	
351	-583	351	-610	
352	-584	352	-607	
353	-588	353	-604	
354	-588	354	-602	
355	-584	355	-600	
356	-574	356	-598	
357	-564	357	-594	
358	-563	358	-591	
359	-569	359	-588	
360	-574	360	-586	
361	-573	361	-584	
362	-563	362	-582	
363	-552	363	-579	
364	-547	364	-576	
365	-549	365	-572	
366	-556	366	-570	
367	-563	367	-569	
368	-560	368	-568	
369	-551	369	-567	
370	-542	370	-564	
371	-534	371	-561	
372	-518	372	-557	
373	-487	373	-551	
374	-428	374	-540	
375	-346	375	-522	
376	-256	376	-495	
377	-180	377	-462	
378	-123	378	-425	
379	-84	379	-386	
380	-49	380	-348	
381	-6	381	-310	
382	39	382	-271	
383	79	383	-231	
384	107	384	-192	
385	118	385	-156	
386	123	386	-123	
387	132	387	-93	
388	151	388	-65	
389	177	389	-38	
390	199	390	-11	
391	207	391	15	
392	201	392	37	
393	194	393	56	
394	198	394	73	
395	209	395	89	
396	225	396	104	
397	232	397	119	
398	228	398	132	
399	217	399	143	
400	204	400	151	
401	210	401	158	
402	222	402	164	
403	231	403	172	
404	234	404	179	
405	226	405	185	
406	217	406	190	
407	215	407	193	
408	225	408	196	
409	242	409	200	
410	251	410	206	
411	247	411	211	
412	237	412	215	
413	228	413	217	
414	229	414	218	
415	243	415	220	
416	259	416	224	
417	265	417	229	
418	259	418	233	
419	253	419	236	
420	253	420	238	
421	264	421	240	
422	283	422	244	
423	296	423	250	
424	300	424	255	
425	293	425	260	
426	289	426	264	
427	295	427	267	
428	309	428	271	
429	324	429	277	
430	331	430	283	
431	328	431	288	
432	322	432	293	
433	321	433	296	
434	331	434	300	
435	347	435	304	
436	361	436	310	
437	362	437	316	
438	354	438	321	
439	345	439	325	
440	346	440	327	
441	354	441	330	
442	365	442	333	
443	368	443	337	
444	361	444	341	
445	347	445	342	
446	339	446	342	
447	340	447	342	
448	349	448	342	
449	357	449	343	
450	354	450	345	
451	342	451	345	
452	330	452	344	
453	322	453	342	
454	327	454	340	
455	334	455	339	
456	334	456	338	
457	324	457	337	
458	307	458	335	
459	293	459	330	
460	290	460	326	
461	295	461	322	
462	301	462	319	
463	298	463	317	
464	285	464	314	
465	272	465	310	
466	266	466	305	
467	270	467	300	
468	278	468	297	
469	282	469	295	
470	276	470	293	
471	262	471	290	
472	249	472	286	
473	244	473	281	
474	250	474	277	
475	258	475	275	
476	261	476	273	
477	255	477	271	
478	244	478	269	
479	239	479	265	
480	246	480	263	
481	260	481	261	
482	272	482	262	
483	272	483	263	
484	264	484	264	
485	257	485	263	
486	257	486	263	
487	267	487	262	
488	284	488	264	
489	293	489	267	
490	293	490	270	
491	285	491	273	
492	280	492	274	
493	286	493	275	
494	301	494	277	
495	317	495	281	
496	324	496	286	
497	321	497	290	
498	316	498	293	
499	315	499	296	
500	322	500	299	
501	335	501	302	
502	345	502	307	
503	347	503	312	
504	341	504	316	
505	335	505	318	
506	333	506	320	
507	342	507	322	
508	353	508	325	
509	358	509	329	
510	356	510	332	
511	347	511	335	
512	342	512	336	
513	346	513	337	
514	354	514	338	
515	360	515	340	
516	357	516	343	
517	349	517	344	
518	339	518	344	
519	333	519	343	
520	335	520	342	
521	339	521	341	
522	341	522	341	
523	335	523	341	
524	323	524	339	
525	314	525	337	
526	311	526	334	
527	315	527	331	
528	319	528	330	
529	313	529	328	
530	301	530	326	
531	289	531	322	
532	282	532	318	
533	282	533	313	
534	286	534	310	
535	286	535	307	
536	277	536	304	
537	267	537	300	
538	259	538	296	
539	259	539	291	
540	264	540	288	
541	269	541	285	
542	266	542	283	
543	257	543	281	
544	246	544	277	
545	241	545	273	
546	246	546	270	
547	253	547	267	
548	259	548	266	
549	257	549	265	
550	250	550	264	
551	246	551	262	
552	252	552	260	
553	263	553	260	
554	274	554	261	
555	279	555	263	
556	275	556	265	
557	269	557	266	
558	270	558	266	
559	280	559	267	
560	293	560	269	
561	303	561	273	
562	305	562	277	
563	302	563	280	
564	299	564	282	
565	301	565	284	
566	313	566	287	
567	326	567	291	
568	332	568	296	
569	329	569	300	
570	323	570	303	
571	323	571	305	
572	331	572	308	
573	343	573	311	
574	353	574	316	
575	353	575	320	
576	344	576	324	
577	336	577	326	
578	335	578	327	
579	344	579	328	
580	355	580	331	
581	359	581	334	
582	355	582	337	
583	346	583	339	
584	340	584	339	
585	339	585	339	
586	346	586	339	
587	351	587	340	
588	349	588	342	
589	338	589	342	
590	326	590	341	
591	319	591	339	
592	320	592	336	
593	325	593	335	
594	325	594	334	
595	316	595	332	
596	303	596	329	
597	291	597	325	
598	282	598	321	
599	262	599	315	
600	224	600	307	
601	155	601	293	
602	64	602	271	
603	-35	603	240	
604	-117	604	202	
605	-175	605	161	
606	-222	606	118	
607	-261	607	75	
608	-310	608	32	
609	-366	609	-12	
610	-414	610	-57	
611	-454	611	-103	
612	-464	612	-145	
613	-470	613	-184	
614	-482	614	-218	
615	-504	615	-251	
616	-535	616	-283	
617	-559	617	-315	
618	-568	618	-345	
619	-560	619	-371	
620	-555	620	-393	
621	-558	621	-412	
622	-570	622	-430	
623	-584	623	-448	
624	-588	624	-465	
625	-575	625	-479	
626	-559	626	-489	
627	-544	627	-497	
628	-547	628	-502	
629	-560	629	-508	
630	-563	630	-515	
631	-561	631	-520	
632	-546	632	-524	
633	-528	633	-526	
634	-523	634	-526	
635	-529	635	-526	
636	-543	636	-527	
637	-544	637	-529	
638	-532	638	-530	
639	-513	639	-529	
640	-499	640	-526	
641	-501	641	-523	
642	-511	642	-521	
643	-523	643	-521	
644	-521	644	-521	
645	-505	645	-520	
646	-491	646	-517	
647	-489	647	-514	
648	-498	648	-511	
649	-517	649	-511	
650	-528	650	-513	
651	-525	651	-514	
652	-515	652	-515	
653	-506	653	-514	
654	-512	654	-514	
655	-530	655	-515	
656	-547	656	-517	
657	-552	657	-521	
658	-545	658	-525	
659	-536	659	-526	
660	-533	660	-527	
661	-550	661	-529	
662	-570	662	-533	
663	-587	663	-538	
664	-591	664	-544	
665	-582	665	-549	
666	-579	666	-553	
667	-584	667	-556	
668	-601	668	-560	
669	-620	669	-566	
670	-630	670	-574	
671	-625	671	-580	
672	-616	672	-585	
673	-612	673	-588	
674	-622	674	-592	
675	-642	675	-596	
676	-658	676	-603	
677	-661	677	-610	
678	-650	678	-615	
679	-640	679	-619	
680	-638	680	-621	
681	-651	681	-624	
682	-664	682	-628	
683	-667	683	-633	
684	-658	684	-636	
685	-639	685	-638	
686	-628	686	-637	
687	-629	687	-636	
688	-638	688	-636	
689	-648	689	-636	
690	-646	690	-638	
691	-630	691	-638	
692	-613	692	-636	
693	-605	693	-632	
694	-609	694	-629	
695	-618	695	-628	
696	-620	696	-627	
697	-608	697	-625	
698	-588	698	-622	
699	-571	699	-617	
700	-565	700	-611	
701	-571	701	-606	
702	-578	702	-602	
703	-572	703	-599	
704	-554	704	-595	
705	-534	705	-589	
706	-521	706	-581	
707	-526	707	-574	
708	-535	708	-569	
709	-541	709	-565	
710	-533	710	-562	
711	-515	711	-557	
712	-499	712	-551	
713	-497	713	-545	
714	-508	714	-540	
715	-520	715	-537	
716	-524	716	-535	
717	-514	717	-533	
718	-501	718	-530	
719	-496	719	-526	
720	-504	720	-523	
721	-523	721	-522	
722	-538	722	-523	
723	-539	723	-525	
724	-530	724	-526	
725	-523	725	-526	
726	-524	726	-526	
727	-540	727	-526	
728	-558	728	-529	
729	-567	729	-533	
730	-565	730	-537	
731	-556	731	-540	
732	-551	732	-541	
733	-563	733	-543	
734	-586	734	-547	
735	-604	735	-553	
736	-612	736	-559	
737	-605	737	-565	
738	-595	738	-569	
739	-597	739	-572	
740	-612	740	-576	
741	-631	741	-582	
742	-643	742	-588	
743	-638	743	-595	
744	-627	744	-599	
745	-621	745	-602	
746	-626	746	-605	
747	-642	747	-608	
748	-659	748	-613	
749	-663	749	-619	
750	-655	750	-624	
751	-640	751	-627	
752	-632	752	-628	
753	-639	753	-628	
754	-652	754	-631	
755	-658	755	-634	
756	-649	756	-636	
757	-632	757	-637	
758	-615	758	-635	
759	-612	759	-632	
760	-620	760	-630	
761	-627	761	-629	
762	-624	762	-629	
763	-608	763	-628	
764	-586	764	-624	
765	-573	765	-618	
766	-574	766	-613	
767	-582	767	-609	
768	-588	768	-606	
769	-580	769	-603	
770	-560	770	-599	
771	-541	771	-594	
772	-532	772	-587	
773	-538	773	-580	
774	-549	774	-576	
775	-551	775	-573	
776	-538	776	-570	
777	-519	777	-565	
778	-505	778	-558	
779	-507	779	-552	
780	-520	780	-547	
