Time, n - aac oeeuo?a	 "/s - aac oeeuo?a	Time, n - oeeuo? 3Ao	 "/s - oeeuo? 3Ao	
10157	-391	10157	-384	
10158	-383	10158	-384	
10159	-378	10159	-384	
10160	-383	10160	-383	
10161	-395	10161	-384	
10162	-408	10162	-386	
10163	-414	10163	-389	
10164	-411	10164	-392	
10165	-409	10165	-394	
10166	-413	10166	-396	
10167	-426	10167	-399	
10168	-441	10168	-403	
10169	-452	10169	-408	
10170	-453	10170	-414	
10171	-448	10171	-418	
10172	-445	10172	-421	
10173	-448	10173	-424	
10174	-458	10174	-428	
10175	-467	10175	-432	
10176	-469	10176	-436	
10177	-463	10177	-440	
10178	-455	10178	-442	
10179	-455	10179	-444	
10180	-463	10180	-446	
10181	-474	10181	-448	
10182	-480	10182	-452	
10183	-477	10183	-455	
10184	-468	10184	-457	
10185	-459	10185	-458	
10186	-458	10186	-458	
10187	-462	10187	-458	
10188	-465	10188	-459	
10189	-462	10189	-459	
10190	-452	10190	-459	
10191	-440	10191	-457	
10192	-433	10192	-455	
10193	-435	10193	-452	
10194	-442	10194	-451	
10195	-444	10195	-450	
10196	-440	10196	-449	
10197	-429	10197	-447	
10198	-419	10198	-444	
10199	-414	10199	-441	
10200	-415	10200	-438	
10201	-417	10201	-435	
10202	-413	10202	-433	
10203	-401	10203	-430	
10204	-389	10204	-426	
10205	-382	10205	-421	
10206	-385	10206	-416	
10207	-392	10207	-413	
10208	-396	10208	-411	
10209	-394	10209	-409	
10210	-386	10210	-407	
10211	-379	10211	-404	
10212	-378	10212	-401	
10213	-384	10213	-398	
10214	-391	10214	-397	
10215	-392	10215	-396	
10216	-385	10216	-395	
10217	-377	10217	-394	
10218	-376	10218	-392	
10219	-384	10219	-390	
10220	-396	10220	-390	
10221	-405	10221	-391	
10222	-409	10222	-393	
10223	-408	10223	-395	
10224	-409	10224	-397	
10225	-416	10225	-399	
10226	-428	10226	-401	
10227	-440	10227	-405	
10228	-446	10228	-410	
10229	-446	10229	-414	
10230	-444	10230	-418	
10231	-446	10231	-421	
10232	-456	10232	-425	
10233	-469	10233	-429	
10234	-481	10234	-435	
10235	-488	10235	-441	
10236	-490	10236	-446	
10237	-492	10237	-452	
10238	-502	10238	-457	
10239	-514	10239	-463	
