Time, n - aac oeeuo?a	 "/s - aac oeeuo?a	Time, n - oeeuo? 3Ao	 "/s - oeeuo? 3Ao	
5112	-965	5112	-924	
5113	-916	5113	-926	
5114	-843	5114	-921	
5115	-752	5115	-906	
5116	-667	5116	-882	
5117	-588	5117	-852	
5118	-528	5118	-816	
5119	-473	5119	-779	
5120	-424	5120	-739	
5121	-373	5121	-698	
5122	-319	5122	-656	
5123	-278	5123	-613	
5124	-241	5124	-571	
5125	-217	5125	-530	
5126	-194	5126	-491	
5127	-170	5127	-455	
5128	-144	5128	-419	
5129	-116	5129	-384	
5130	-93	5130	-351	
5131	-79	5131	-319	
5132	-71	5132	-290	
5133	-57	5133	-263	
5134	-36	5134	-237	
5135	-12	5135	-212	
5136	8	5136	-187	
5137	19	5137	-163	
5138	24	5138	-141	
5139	25	5139	-121	
5140	34	5140	-103	
5141	47	5141	-86	
5142	59	5142	-69	
5143	65	5143	-54	
5144	70	5144	-39	
5145	69	5145	-26	
5146	67	5146	-15	
5147	77	5147	-5	
5148	89	5148	6	
5149	100	5149	16	
5150	99	5150	26	
5151	92	5151	35	
5152	87	5152	41	
5153	84	5153	46	
5154	87	5154	51	
5155	91	5155	56	
5156	92	5156	60	
5157	81	5157	63	
5158	69	5158	64	
5159	63	5159	65	
5160	62	5160	64	
5161	64	5161	64	
5162	64	5162	64	
5163	59	5163	64	
5164	48	5164	63	
5165	36	5165	60	
5166	28	5166	57	
5167	28	5167	53	
5168	28	5168	50	
5169	23	5169	47	
5170	13	5170	44	
5171	-4	5171	39	
5172	-15	5172	33	
5173	-19	5173	27	
5174	-13	5174	22	
5175	-13	5175	18	
5176	-19	5176	14	
5177	-27	5177	10	
5178	-37	5178	5	
5179	-39	5179	-1	
5180	-35	5180	-5	
5181	-28	5181	-8	
5182	-27	5182	-10	
5183	-33	5183	-13	
5184	-41	5184	-16	
5185	-45	5185	-19	
5186	-40	5186	-22	
5187	-29	5187	-23	
5188	-15	5188	-23	
5189	-10	5189	-22	
5190	-11	5190	-20	
5191	-12	5191	-19	
5192	-7	5192	-18	
5193	7	5193	-16	
5194	24	5194	-12	
5195	33	5195	-7	
5196	32	5196	-3	
5197	31	5197	1	
5198	32	5198	5	
5199	44	5199	9	
5200	61	5200	14	
5201	75	5201	21	
5202	85	5202	28	
5203	86	5203	35	
5204	86	5204	41	
5205	93	5205	47	
5206	107	5206	53	
5207	123	5207	60	
5208	135	5208	69	
5209	138	5209	77	
5210	134	5210	84	
5211	133	5211	90	
5212	140	5212	95	
5213	155	5213	101	
5214	167	5214	109	
5215	167	5215	116	
5216	163	5216	122	
5217	159	5217	126	
5218	159	5218	130	
5219	165	5219	134	
5220	174	5220	138	
5221	176	5221	143	
5222	172	5222	147	
5223	162	5223	149	
5224	154	5224	150	
5225	151	5225	150	
5226	152	5226	150	
5227	155	5227	151	
5228	152	5228	151	
5229	140	5229	151	
5230	127	5230	149	
5231	121	5231	146	
5232	121	5232	143	
5233	122	5233	140	
5234	120	5234	138	
5235	109	5235	135	
5236	95	5236	131	
5237	85	5237	126	
5238	82	5238	121	
5239	81	5239	116	
5240	78	5240	112	
5241	73	5241	108	
5242	62	5242	103	
5243	50	5243	97	
5244	42	5244	91	
5245	42	5245	85	
5246	47	5246	80	
5247	47	5247	76	
5248	40	5248	73	
5249	31	5249	68	
5250	26	5250	63	
5251	27	5251	59	
5252	35	5252	55	
5253	40	5253	53	
5254	40	5254	52	
5255	36	5255	50	
5256	32	5256	48	
5257	35	5257	46	
5258	44	5258	46	
5259	56	5259	46	
5260	64	5260	48	
5261	67	5261	50	
5262	65	5262	52	
5263	67	5263	54	
5264	74	5264	55	
5265	86	5265	58	
5266	100	5266	63	
