Time, n - aac oeeuo?a	 "/s - aac oeeuo?a	Time, n - oeeuo? 3Ao	 "/s - oeeuo? 3Ao	
6231	-780	6231	-812	
6232	-761	6232	-807	
6233	-757	6233	-801	
6234	-768	6234	-796	
6235	-788	6235	-794	
6236	-802	6236	-794	
6237	-801	6237	-795	
6238	-786	6238	-795	
6239	-775	6239	-793	
6240	-780	6240	-791	
6241	-800	6241	-791	
6242	-821	6242	-793	
6243	-832	6243	-798	
6244	-829	6244	-802	
6245	-825	6245	-805	
6246	-826	6246	-807	
6247	-845	6247	-810	
6248	-874	6248	-816	
6249	-895	6249	-824	
6250	-901	6250	-833	
6251	-894	6251	-841	
6252	-886	6252	-847	
6253	-894	6253	-852	
6254	-916	6254	-858	
6255	-937	6255	-866	
6256	-950	6256	-876	
6257	-949	6257	-885	
6258	-940	6258	-892	
6259	-943	6259	-898	
6260	-957	6260	-904	
6261	-975	6261	-911	
6262	-991	6262	-920	
6263	-991	6263	-928	
6264	-979	6264	-935	
6265	-967	6265	-940	
6266	-963	6266	-943	
6267	-971	6267	-946	
6268	-983	6268	-949	
6269	-984	6269	-954	
6270	-967	6270	-956	
6271	-947	6271	-956	
6272	-930	6272	-954	
6273	-930	6273	-951	
6274	-941	6274	-949	
6275	-944	6275	-949	
6276	-934	6276	-947	
6277	-912	6277	-945	
6278	-890	6278	-939	
6279	-880	6279	-933	
6280	-879	6280	-926	
6281	-874	6281	-921	
6282	-864	6282	-914	
6283	-844	6283	-907	
6284	-817	6284	-898	
6285	-796	6285	-887	
6286	-788	6286	-876	
6287	-788	6287	-865	
6288	-788	6288	-856	
6289	-776	6289	-847	
6290	-751	6290	-837	
6291	-729	6291	-826	
6292	-717	6292	-813	
6293	-715	6293	-802	
6294	-720	6294	-792	
6295	-716	6295	-783	
6296	-697	6296	-774	
6297	-678	6297	-763	
6298	-666	6298	-752	
6299	-665	6299	-742	
6300	-671	6300	-733	
6301	-676	6301	-726	
6302	-673	6302	-720	
6303	-663	6303	-714	
6304	-654	6304	-707	
6305	-654	6305	-701	
6306	-666	6306	-696	
6307	-678	6307	-693	
6308	-685	6308	-692	
6309	-684	6309	-691	
6310	-677	6310	-690	
6311	-675	6311	-688	
6312	-688	6312	-687	
6313	-708	6313	-688	
6314	-724	6314	-692	
6315	-731	6315	-696	
6316	-730	6316	-700	
6317	-733	6317	-704	
6318	-743	6318	-708	
6319	-762	6319	-713	
6320	-787	6320	-721	
6321	-803	6321	-729	
6322	-806	6322	-738	
6323	-806	6323	-746	
6324	-811	6324	-754	
6325	-823	6325	-761	
6326	-843	6326	-770	
6327	-863	6327	-780	
6328	-872	6328	-790	
6329	-874	6329	-800	
6330	-871	6330	-809	
6331	-877	6331	-817	
6332	-892	6332	-825	
6333	-907	6333	-834	
6334	-917	6334	-843	
6335	-918	6335	-852	
6336	-912	6336	-859	
6337	-908	6337	-865	
6338	-913	6338	-871	
6339	-921	6339	-876	
6340	-929	6340	-882	
6341	-929	6341	-888	
6342	-920	6342	-892	
6343	-913	6343	-895	
6344	-909	6344	-897	
6345	-908	6345	-898	
6346	-912	6346	-900	
6347	-912	6347	-901	
6348	-903	6348	-902	
6349	-888	6349	-901	
6350	-877	6350	-899	
6351	-883	6351	-896	
6352	-904	6352	-896	
6353	-931	6353	-899	
6354	-950	6354	-904	
6355	-955	6355	-910	
6356	-945	6356	-914	
6357	-922	6357	-917	
6358	-892	6358	-916	
6359	-861	6359	-911	
6360	-839	6360	-904	
6361	-824	6361	-895	
6362	-813	6362	-886	
6363	-808	6363	-877	
6364	-802	6364	-868	
6365	-796	6365	-860	
6366	-788	6366	-852	
6367	-785	6367	-844	
6368	-780	6368	-837	
6369	-773	6369	-829	
6370	-772	6370	-823	
6371	-769	6371	-816	
6372	-775	6372	-811	
6373	-773	6373	-807	
6374	-767	6374	-802	
6375	-767	6375	-798	
6376	-762	6376	-794	
6377	-767	6377	-790	
6378	-772	6378	-788	
6379	-774	6379	-786	
6380	-776	6380	-785	
6381	-781	6381	-784	
6382	-794	6382	-784	
6383	-804	6383	-786	
6384	-815	6384	-789	
6385	-828	6385	-793	
6386	-844	6386	-798	
6387	-858	6387	-804	
6388	-868	6388	-812	
6389	-879	6389	-819	
6390	-895	6390	-827	
6391	-907	6391	-836	
6392	-920	6392	-845	
6393	-934	6393	-855	
6394	-941	6394	-865	
6395	-951	6395	-874	
6396	-963	6396	-884	
6397	-981	6397	-895	
6398	-995	6398	-906	
6399	-1004	6399	-917	
6400	-1014	6400	-928	
6401	-1020	6401	-939	
6402	-1028	6402	-949	
6403	-1031	6403	-959	
6404	-1039	6404	-968	
6405	-1046	6405	-977	
6406	-1045	6406	-985	
6407	-1047	6407	-992	
6408	-1047	6408	-999	
6409	-1046	6409	-1004	
6410	-1047	6410	-1009	
6411	-1049	6411	-1014	
6412	-1051	6412	-1018	
6413	-1048	6413	-1022	
6414	-1041	6414	-1025	
6415	-1036	6415	-1026	
6416	-1032	6416	-1027	
6417	-1025	6417	-1027	
6418	-1015	6418	-1026	
6419	-1005	6419	-1024	
6420	-992	6420	-1021	
6421	-976	6421	-1017	
6422	-965	6422	-1011	
6423	-955	6423	-1005	
6424	-944	6424	-999	
6425	-937	6425	-992	
6426	-928	6426	-985	
6427	-918	6427	-977	
6428	-905	6428	-969	
6429	-893	6429	-961	
6430	-888	6430	-952	
6431	-881	6431	-944	
6432	-873	6432	-936	
6433	-860	6433	-928	
6434	-846	6434	-919	
6435	-834	6435	-909	
6436	-825	6436	-900	
6437	-820	6437	-891	
6438	-815	6438	-882	
6439	-810	6439	-874	
6440	-805	6440	-866	
6441	-800	6441	-858	
6442	-797	6442	-851	
6443	-797	6443	-844	
6444	-796	6444	-839	
6445	-799	6445	-834	
6446	-798	6446	-830	
6447	-792	6447	-826	
6448	-789	6448	-821	
6449	-788	6449	-817	
6450	-795	6450	-814	
6451	-800	6451	-812	
6452	-802	6452	-811	
6453	-801	6453	-810	
6454	-803	6454	-809	
6455	-806	6455	-808	
6456	-812	6456	-808	
6457	-822	6457	-809	
6458	-827	6458	-811	
6459	-831	6459	-813	
6460	-836	6460	-816	
6461	-837	6461	-818	
6462	-842	6462	-821	
6463	-847	6463	-824	
6464	-852	6464	-827	
6465	-859	6465	-830	
6466	-862	6466	-834	
6467	-860	6467	-837	
6468	-861	6468	-840	
6469	-867	6469	-843	
6470	-873	6470	-846	
6471	-877	6471	-850	
6472	-877	6472	-853	
6473	-874	6473	-856	
6474	-869	6474	-858	
6475	-866	6475	-859	
6476	-865	6476	-860	
6477	-864	6477	-860	
6478	-862	6478	-861	
6479	-858	6479	-860	
6480	-853	6480	-860	
6481	-843	6481	-858	
6482	-836	6482	-856	
6483	-834	6483	-854	
6484	-834	6484	-851	
6485	-826	6485	-849	
6486	-815	6486	-845	
6487	-804	6487	-841	
6488	-794	6488	-836	
6489	-786	6489	-830	
6490	-781	6490	-825	
6491	-773	6491	-819	
6492	-760	6492	-813	
6493	-749	6493	-806	
6494	-742	6494	-799	
6495	-737	6495	-791	
6496	-731	6496	-785	
6497	-724	6497	-778	
6498	-716	6498	-771	
6499	-708	6499	-764	
6500	-698	6500	-757	
6501	-693	6501	-749	
6502	-689	6502	-742	
6503	-689	6503	-736	
6504	-685	6504	-730	
6505	-676	6505	-724	
6506	-669	6506	-718	
6507	-666	6507	-712	
6508	-669	6508	-707	
6509	-675	6509	-703	
6510	-679	6510	-699	
6511	-676	6511	-697	
6512	-670	6512	-694	
6513	-668	6513	-691	
6514	-672	6514	-688	
6515	-679	6515	-687	
6516	-686	6516	-686	
6517	-690	6517	-687	
6518	-692	6518	-687	
6519	-691	6519	-688	
6520	-693	6520	-688	
6521	-701	6521	-689	
6522	-714	6522	-691	
6523	-727	6523	-695	
6524	-733	6524	-699	
6525	-734	6525	-703	
6526	-736	6526	-707	
6527	-745	6527	-711	
6528	-759	6528	-716	
6529	-773	6529	-722	
6530	-781	6530	-729	
6531	-783	6531	-735	
6532	-786	6532	-741	
6533	-792	6533	-747	
6534	-801	6534	-752	
6535	-813	6535	-759	
6536	-823	6536	-766	
6537	-829	6537	-773	
6538	-830	6538	-780	
6539	-831	6539	-786	
6540	-836	6540	-792	
6541	-847	6541	-798	
6542	-858	6542	-804	
6543	-862	6543	-811	
6544	-861	6544	-817	
6545	-854	6545	-822	
6546	-850	6546	-825	
6547	-856	6547	-829	
6548	-864	6548	-832	
6549	-867	6549	-836	
6550	-861	6550	-840	
6551	-854	6551	-842	
6552	-848	6552	-843	
6553	-845	6553	-843	
6554	-848	6554	-844	
6555	-852	6555	-844	
6556	-852	6556	-845	
6557	-846	6557	-846	
6558	-834	6558	-845	
6559	-825	6559	-843	
6560	-822	6560	-841	
6561	-825	6561	-839	
6562	-828	6562	-837	
6563	-824	6563	-836	
6564	-812	6564	-834	
6565	-802	6565	-831	
6566	-799	6566	-827	
6567	-803	6567	-824	
6568	-806	6568	-822	
6569	-805	6569	-820	
6570	-799	6570	-818	
6571	-790	6571	-815	
6572	-786	6572	-812	
6573	-788	6573	-809	
6574	-792	6574	-806	
6575	-786	6575	-804	
6576	-770	6576	-801	
6577	-740	6577	-796	
6578	-713	6578	-788	
6579	-698	6579	-778	
6580	-710	6580	-769	
6581	-741	6581	-763	
6582	-770	6582	-763	
6583	-791	6583	-765	
6584	-792	6584	-768	
6585	-792	6585	-771	
6586	-797	6586	-774	
6587	-813	6587	-777	
6588	-841	6588	-783	
6589	-859	6589	-791	
6590	-868	6590	-800	
6591	-872	6591	-809	
6592	-874	6592	-816	
6593	-883	6593	-824	
6594	-900	6594	-832	
6595	-920	6595	-841	
6596	-937	6596	-852	
6597	-941	6597	-862	
6598	-934	6598	-871	
6599	-933	6599	-878	
6600	-943	6600	-885	
6601	-957	6601	-893	
6602	-968	6602	-901	
6603	-975	6603	-910	
6604	-965	6604	-917	
6605	-956	6605	-922	
6606	-958	6606	-926	
6607	-964	6607	-930	
6608	-975	6608	-935	
6609	-973	6609	-940	
6610	-962	6610	-943	
6611	-953	6611	-945	
6612	-942	6612	-945	
6613	-936	6613	-944	
6614	-941	6614	-944	
6615	-944	6615	-944	
6616	-936	6616	-943	
6617	-920	6617	-942	
6618	-903	6618	-938	
6619	-893	6619	-933	
6620	-894	6620	-928	
6621	-896	6621	-924	
6622	-891	6622	-921	
6623	-879	6623	-917	
6624	-855	6624	-911	
6625	-839	6625	-903	
6626	-837	6626	-895	
6627	-835	6627	-888	
6628	-832	6628	-881	
6629	-826	6629	-875	
6630	-811	6630	-869	
6631	-795	6631	-861	
6632	-785	6632	-852	
6633	-782	6633	-844	
6634	-783	6634	-837	
6635	-782	6635	-830	
6636	-772	6636	-824	
6637	-761	6637	-817	
6638	-749	6638	-810	
6639	-743	6639	-802	
6640	-749	6640	-795	
6641	-754	6641	-790	
6642	-748	6642	-786	
6643	-740	6643	-781	
6644	-730	6644	-775	
6645	-727	6645	-770	
6646	-735	6646	-765	
6647	-742	6647	-762	
6648	-745	6648	-760	
6649	-740	6649	-758	
6650	-732	6650	-755	
6651	-730	6651	-752	
6652	-735	6652	-750	
6653	-745	6653	-748	
6654	-754	6654	-749	
6655	-758	6655	-750	
6656	-757	6656	-751	
6657	-751	6657	-751	
6658	-752	6658	-751	
6659	-760	6659	-752	
6660	-775	6660	-753	
6661	-784	6661	-757	
6662	-780	6662	-760	
6663	-776	6663	-762	
6664	-775	6664	-763	
6665	-779	6665	-765	
6666	-791	6666	-767	
6667	-799	6667	-771	
6668	-799	6668	-774	
6669	-795	6669	-777	
6670	-788	6670	-779	
6671	-786	6671	-780	
6672	-794	6672	-781	
6673	-803	6673	-783	
6674	-807	6674	-786	
6675	-806	6675	-788	
6676	-796	6676	-790	
6677	-785	6677	-790	
6678	-786	6678	-789	
6679	-790	6679	-789	
6680	-793	6680	-789	
6681	-788	6681	-789	
6682	-774	6682	-789	
6683	-761	6683	-786	
6684	-754	6684	-783	
6685	-751	6685	-779	
6686	-750	6686	-776	
6687	-749	6687	-773	
6688	-737	6688	-769	
6689	-723	6689	-764	
6690	-712	6690	-759	
6691	-704	6691	-753	
6692	-701	6692	-747	
6693	-699	6693	-741	
6694	-691	6694	-736	
6695	-677	6695	-730	
6696	-661	6696	-722	
6697	-647	6697	-714	
6698	-644	6698	-706	
6699	-645	6699	-699	
6700	-638	6700	-692	
6701	-632	6701	-685	
6702	-619	6702	-678	
6703	-610	6703	-670	
6704	-608	6704	-663	
6705	-609	6705	-656	
6706	-610	6706	-651	
6707	-607	6707	-646	
6708	-601	6708	-641	
6709	-595	6709	-636	
6710	-592	6710	-631	
6711	-595	6711	-626	
6712	-602	6712	-623	
6713	-608	6713	-621	
6714	-609	6714	-619	
6715	-607	6715	-618	
6716	-608	6716	-617	
6717	-612	6717	-616	
6718	-620	6718	-616	
6719	-631	6719	-617	
6720	-635	6720	-619	
6721	-637	6721	-621	
6722	-638	6722	-623	
6723	-643	6723	-625	
6724	-654	6724	-628	
6725	-667	6725	-632	
6726	-677	6726	-637	
6727	-683	6727	-642	
6728	-688	6728	-647	
6729	-691	6729	-652	
6730	-700	6730	-657	
6731	-713	6731	-663	
6732	-725	6732	-670	
6733	-736	6733	-677	
6734	-739	6734	-684	
6735	-739	6735	-691	
6736	-741	6736	-697	
6737	-747	6737	-702	
6738	-756	6738	-708	
6739	-764	6739	-714	
6740	-768	6740	-721	
6741	-765	6741	-726	
6742	-763	6742	-731	
6743	-765	6743	-734	
6744	-770	6744	-738	
6745	-776	6745	-742	
6746	-776	6746	-746	
6747	-773	6747	-750	
6748	-768	6748	-752	
6749	-759	6749	-754	
6750	-755	6750	-754	
6751	-755	6751	-754	
6752	-753	6752	-754	
6753	-747	6753	-754	
6754	-738	6754	-752	
6755	-725	6755	-750	
6756	-715	6756	-746	
6757	-710	6757	-742	
6758	-707	6758	-738	
6759	-702	6759	-734	
6760	-692	6760	-730	
6761	-675	6761	-724	
6762	-662	6762	-718	
6763	-651	6763	-710	
6764	-643	6764	-703	
6765	-640	6765	-695	
6766	-633	6766	-688	
6767	-620	6767	-681	
6768	-605	6768	-673	
6769	-594	6769	-664	
6770	-588	6770	-655	
6771	-585	6771	-647	
6772	-583	6772	-640	
6773	-579	6773	-633	
6774	-570	6774	-626	
6775	-560	6775	-618	
6776	-555	6776	-611	
6777	-556	6777	-604	
6778	-558	6778	-599	
6779	-558	6779	-594	
6780	-558	6780	-590	
6781	-553	6781	-586	
6782	-551	6782	-582	
6783	-554	6783	-578	
6784	-562	6784	-576	
6785	-570	6785	-574	
6786	-576	6786	-574	
6787	-577	6787	-575	
6788	-579	6788	-575	
6789	-583	6789	-576	
6790	-591	6790	-577	
6791	-603	6791	-579	
6792	-612	6792	-583	
6793	-618	6793	-587	
6794	-619	6794	-590	
6795	-626	6795	-594	
6796	-645	6796	-599	
6797	-677	6797	-606	
6798	-715	6798	-617	
6799	-747	6799	-631	
6800	-769	6800	-646	
6801	-772	6801	-661	
6802	-763	6802	-674	
6803	-746	6803	-684	
6804	-726	6804	-690	
6805	-718	6805	-693	
6806	-715	6806	-696	
6807	-714	6807	-698	
6808	-717	6808	-700	
6809	-716	6809	-702	
6810	-715	6810	-704	
6811	-713	6811	-705	
6812	-715	6812	-706	
6813	-713	6813	-707	
6814	-707	6814	-707	
6815	-706	6815	-707	
6816	-701	6816	-707	
6817	-700	6817	-706	
6818	-687	6818	-705	
6819	-674	6819	-702	
6820	-664	6820	-698	
6821	-649	6821	-693	
6822	-637	6822	-687	
6823	-627	6823	-681	
6824	-617	6824	-674	
6825	-606	6825	-666	
6826	-595	6826	-658	
6827	-588	6827	-650	
6828	-577	6828	-642	
6829	-562	6829	-634	
6830	-548	6830	-624	
6831	-539	6831	-615	
6832	-531	6832	-605	
6833	-520	6833	-596	
6834	-508	6834	-586	
6835	-502	6835	-576	
6836	-486	6836	-566	
6837	-474	6837	-556	
6838	-469	6838	-546	
6839	-461	6839	-536	
6840	-457	6840	-527	
6841	-447	6841	-518	
6842	-444	6842	-509	
6843	-436	6843	-501	
6844	-426	6844	-493	
6845	-423	6845	-485	
6846	-423	6846	-477	
6847	-424	6847	-471	
6848	-416	6848	-465	
6849	-413	6849	-459	
6850	-412	6850	-453	
6851	-407	6851	-448	
6852	-411	6852	-443	
6853	-416	6853	-440	
6854	-419	6854	-437	
6855	-421	6855	-435	
6856	-424	6856	-434	
6857	-430	6857	-433	
6858	-435	6858	-433	
6859	-441	6859	-433	
6860	-451	6860	-435	
6861	-461	6861	-437	
6862	-464	6862	-440	
6863	-468	6863	-444	
6864	-472	6864	-447	
6865	-481	6865	-450	
6866	-491	6866	-454	
6867	-502	6867	-459	
6868	-511	6868	-465	
6869	-516	6869	-471	
6870	-526	6870	-477	
6871	-532	6871	-483	
6872	-541	6872	-489	
6873	-546	6873	-496	
6874	-549	6874	-502	
6875	-558	6875	-508	
6876	-563	6876	-515	
6877	-564	6877	-520	
6878	-564	6878	-526	
6879	-566	6879	-530	
6880	-569	6880	-535	
6881	-572	6881	-539	
6882	-572	6882	-543	
6883	-570	6883	-546	
6884	-567	6884	-549	
6885	-564	6885	-551	
6886	-562	6886	-552	
6887	-560	6887	-553	
6888	-557	6888	-554	
6889	-550	6889	-554	
6890	-542	6890	-553	
6891	-532	6891	-551	
6892	-522	6892	-548	
6893	-513	6893	-545	
6894	-503	6894	-540	
6895	-497	6895	-535	
6896	-486	6896	-530	
6897	-472	6897	-524	
6898	-459	6898	-517	
6899	-448	6899	-509	
6900	-438	6900	-501	
6901	-426	6901	-493	
6902	-413	6902	-484	
6903	-398	6903	-475	
6904	-382	6904	-465	
6905	-367	6905	-454	
6906	-355	6906	-443	
6907	-344	6907	-431	
6908	-332	6908	-420	
6909	-319	6909	-409	
6910	-309	6910	-398	
6911	-298	6911	-386	
6912	-288	6912	-375	
6913	-281	6913	-364	
6914	-278	6914	-354	
6915	-274	6915	-345	
6916	-265	6916	-336	
6917	-256	6917	-327	
6918	-248	6918	-318	
6919	-242	6919	-309	
6920	-239	6920	-301	
6921	-237	6921	-294	
6922	-235	6922	-287	
6923	-233	6923	-280	
6924	-234	6924	-275	
6925	-239	6925	-270	
6926	-243	6926	-267	
6927	-248	6927	-264	
6928	-254	6928	-263	
6929	-259	6929	-262	
6930	-262	6930	-262	
6931	-264	6931	-262	
6932	-267	6932	-262	
6933	-276	6933	-263	
6934	-285	6934	-265	
6935	-292	6935	-268	
6936	-300	6936	-272	
6937	-306	6937	-275	
6938	-312	6938	-279	
6939	-324	6939	-284	
6940	-336	6940	-290	
6941	-343	6941	-296	
6942	-349	6942	-302	
6943	-354	6943	-308	
6944	-359	6944	-313	
6945	-365	6945	-319	
6946	-371	6946	-325	
6947	-378	6947	-331	
6948	-383	6948	-337	
6949	-382	6949	-342	
6950	-383	6950	-347	
6951	-386	6951	-352	
6952	-389	6952	-356	
6953	-392	6953	-360	
6954	-395	6954	-364	
6955	-394	6955	-368	
6956	-389	6956	-371	
6957	-383	6957	-372	
6958	-381	6958	-373	
6959	-380	6959	-374	
6960	-376	6960	-375	
6961	-369	6961	-374	
6962	-359	6962	-373	
6963	-351	6963	-371	
6964	-345	6964	-368	
6965	-340	6965	-365	
6966	-334	6966	-362	
6967	-324	6967	-358	
6968	-313	6968	-353	
6969	-300	6969	-348	
6970	-289	6970	-341	
6971	-280	6971	-335	
6972	-272	6972	-328	
6973	-264	6973	-321	
6974	-253	6974	-313	
6975	-242	6975	-305	
6976	-231	6976	-297	
6977	-226	6977	-289	
6978	-223	6978	-281	
6979	-217	6979	-274	
6980	-205	6980	-266	
6981	-192	6981	-258	
6982	-182	6982	-250	
6983	-178	6983	-241	
6984	-177	6984	-234	
6985	-177	6985	-227	
6986	-174	6986	-221	
6987	-167	6987	-215	
6988	-160	6988	-209	
6989	-157	6989	-203	
6990	-160	6990	-197	
6991	-163	6991	-193	
6992	-168	6992	-190	
6993	-169	6993	-187	
6994	-164	6994	-185	
6995	-160	6995	-182	
6996	-162	6996	-180	
6997	-172	6997	-178	
6998	-184	6998	-178	
6999	-190	6999	-179	
7000	-193	7000	-181	
7001	-195	7001	-182	
7002	-199	7002	-184	
7003	-211	7003	-186	
7004	-225	7004	-190	
7005	-238	7005	-195	
7006	-244	7006	-201	
7007	-247	7007	-206	
7008	-251	7008	-211	
7009	-258	7009	-216	
7010	-271	7010	-222	
7011	-286	7011	-229	
7012	-298	7012	-236	
7013	-302	7013	-244	
7014	-302	7014	-251	
7015	-309	7015	-257	
7016	-319	7016	-264	
7017	-335	7017	-272	
7018	-349	7018	-280	
7019	-348	7019	-289	
7020	-336	7020	-295	
7021	-315	7021	-299	
7022	-294	7022	-299	
7023	-281	7023	-298	
7024	-274	7024	-295	
7025	-277	7025	-293	
7026	-291	7026	-292	
7027	-303	7027	-292	
7028	-313	7028	-294	
7029	-317	7029	-297	
7030	-322	7030	-300	
7031	-326	7031	-302	
7032	-332	7032	-306	
7033	-338	7033	-309	
7034	-339	7034	-313	
7035	-338	7035	-316	
7036	-335	7036	-318	
7037	-328	7037	-320	
7038	-318	7038	-320	
7039	-309	7039	-320	
7040	-304	7040	-318	
7041	-307	7041	-316	
7042	-310	7042	-315	
7043	-308	7043	-315	
7044	-302	7044	-313	
7045	-296	7045	-312	
7046	-290	7046	-310	
7047	-282	7047	-307	
7048	-276	7048	-303	
7049	-266	7049	-300	
7050	-250	7050	-295	
7051	-238	7051	-289	
7052	-222	7052	-282	
7053	-212	7053	-274	
7054	-204	7054	-266	
7055	-200	7055	-258	
7056	-202	7056	-251	
7057	-196	7057	-245	
7058	-187	7058	-239	
7059	-182	7059	-232	
7060	-180	7060	-226	
7061	-178	7061	-221	
7062	-176	7062	-215	
7063	-171	7063	-210	
7064	-162	7064	-205	
7065	-154	7065	-200	
7066	-149	7066	-194	
7067	-149	7067	-188	
7068	-152	7068	-184	
7069	-154	7069	-180	
7070	-157	7070	-177	
7071	-162	7071	-175	
7072	-162	7072	-174	
7073	-167	7073	-172	
7074	-173	7074	-172	
7075	-179	7075	-173	
7076	-182	7076	-174	
7077	-178	7077	-174	
7078	-174	7078	-175	
7079	-171	7079	-174	
7080	-176	7080	-174	
7081	-184	7081	-175	
7082	-190	7082	-176	
7083	-193	7083	-178	
7084	-194	7084	-180	
7085	-201	7085	-182	
7086	-209	7086	-185	
7087	-215	7087	-188	
7088	-220	7088	-191	
7089	-220	7089	-195	
7090	-216	7090	-198	
7091	-211	7091	-200	
7092	-203	7092	-200	
7093	-197	7093	-200	
