Time, n - aac oeeuo?a	 "/s - aac oeeuo?a	Time, n - oeeuo? 3Ao	 "/s - oeeuo? 3Ao	
4231	-230	4231	-206	
4232	-229	4232	-209	
4233	-228	4233	-211	
4234	-229	4234	-213	
4235	-233	4235	-215	
4236	-239	4236	-218	
4237	-241	4237	-220	
4238	-241	4238	-223	
4239	-238	4239	-225	
4240	-233	4240	-226	
4241	-233	4241	-227	
4242	-233	4242	-228	
4243	-232	4243	-228	
4244	-229	4244	-229	
4245	-222	4245	-228	
4246	-215	4246	-227	
4247	-209	4247	-225	
4248	-206	4248	-223	
4249	-205	4249	-221	
4250	-204	4250	-219	
4251	-202	4251	-217	
4252	-202	4252	-215	
4253	-202	4253	-214	
4254	-204	4254	-212	
4255	-206	4255	-212	
4256	-207	4256	-211	
4257	-205	4257	-210	
4258	-201	4258	-210	
4259	-198	4259	-208	
4260	-196	4260	-207	
4261	-194	4261	-206	
4262	-191	4262	-204	
4263	-187	4263	-202	
4264	-181	4264	-200	
4265	-176	4265	-198	
4266	-175	4266	-195	
4267	-176	4267	-192	
4268	-180	4268	-191	
4269	-184	4269	-190	
4270	-188	4270	-189	
4271	-191	4271	-189	
4272	-193	4272	-190	
4273	-196	4273	-190	
4274	-200	4274	-191	
4275	-203	4275	-192	
4276	-203	4276	-194	
4277	-203	4277	-195	
4278	-203	4278	-196	
4279	-206	4279	-197	
4280	-210	4280	-198	
4281	-211	4281	-200	
4282	-210	4282	-201	
4283	-206	4283	-202	
4284	-204	4284	-202	
4285	-207	4285	-202	
4286	-214	4286	-203	
4287	-223	4287	-205	
4288	-232	4288	-208	
4289	-236	4289	-211	
4290	-236	4290	-214	
4291	-235	4291	-217	
4292	-237	4292	-219	
4293	-243	4293	-222	
4294	-249	4294	-225	
4295	-250	4295	-228	
4296	-247	4296	-230	
4297	-242	4297	-232	
4298	-239	4298	-233	
4299	-240	4299	-234	
4300	-242	4300	-234	
4301	-242	4301	-235	
4302	-238	4302	-236	
4303	-232	4303	-236	
4304	-228	4304	-235	
4305	-229	4305	-234	
4306	-234	4306	-234	
4307	-239	4307	-234	
4308	-240	4308	-235	
4309	-236	4309	-235	
4310	-230	4310	-235	
4311	-225	4311	-234	
4312	-224	4312	-233	
4313	-225	4313	-232	
4314	-224	4314	-231	
4315	-218	4315	-230	
4316	-207	4316	-228	
4317	-196	4317	-225	
4318	-189	4318	-221	
4319	-187	4319	-217	
4320	-186	4320	-213	
4321	-185	4321	-210	
4322	-181	4322	-207	
4323	-176	4323	-203	
4324	-173	4324	-200	
4325	-174	4325	-197	
4326	-177	4326	-194	
4327	-180	4327	-192	
4328	-177	4328	-191	
4329	-170	4329	-189	
4330	-163	4330	-186	
4331	-158	4331	-183	
4332	-158	4332	-180	
4333	-158	4333	-177	
4334	-157	4334	-175	
4335	-150	4335	-172	
4336	-142	4336	-169	
4337	-136	4337	-166	
4338	-138	4338	-162	
4339	-143	4339	-159	
4340	-149	4340	-158	
4341	-152	4341	-157	
4342	-152	4342	-156	
4343	-151	4343	-156	
4344	-151	4344	-155	
4345	-155	4345	-155	
4346	-160	4346	-155	
4347	-163	4347	-156	
4348	-162	4348	-157	
4349	-160	4349	-157	
4350	-156	4350	-157	
4351	-157	4351	-157	
4352	-161	4352	-157	
4353	-165	4353	-158	
4354	-166	4354	-159	
4355	-163	4355	-160	
4356	-162	4356	-160	
4357	-165	4357	-160	
4358	-173	4358	-161	
4359	-182	4359	-163	
4360	-189	4360	-166	
4361	-190	4361	-169	
4362	-187	4362	-171	
4363	-186	4363	-173	
4364	-187	4364	-175	
4365	-192	4365	-176	
4366	-197	4366	-179	
4367	-197	4367	-181	
4368	-193	4368	-183	
4369	-185	4369	-183	
4370	-181	4370	-183	
4371	-182	4371	-183	
4372	-184	4372	-183	
4373	-185	4373	-183	
4374	-181	4374	-183	
4375	-176	4375	-183	
4376	-172	4376	-182	
4377	-175	4377	-181	
4378	-180	4378	-180	
4379	-184	4379	-181	
4380	-183	4380	-181	
4381	-176	4381	-181	
4382	-170	4382	-180	
4383	-167	4383	-178	
4384	-167	4384	-177	
4385	-169	4385	-176	
4386	-168	4386	-175	
4387	-161	4387	-174	
4388	-152	4388	-172	
4389	-145	4389	-169	
4390	-143	4390	-166	
4391	-148	4391	-164	
4392	-154	4392	-162	
4393	-157	4393	-161	
4394	-156	4394	-161	
4395	-153	4395	-160	
4396	-153	4396	-159	
4397	-155	4397	-159	
4398	-159	4398	-158	
4399	-163	4399	-159	
4400	-162	4400	-159	
4401	-157	4401	-159	
4402	-152	4402	-159	
4403	-151	4403	-158	
4404	-153	4404	-157	
4405	-155	4405	-157	
4406	-156	4406	-157	
4407	-154	4407	-157	
4408	-151	4408	-156	
4409	-150	4409	-155	
4410	-158	4410	-155	
4411	-168	4411	-156	
4412	-178	4412	-158	
4413	-183	4413	-161	
4414	-182	4414	-163	
4415	-181	4415	-166	
4416	-183	4416	-167	
4417	-188	4417	-170	
4418	-195	4418	-172	
4419	-198	4419	-175	
4420	-196	4420	-178	
4421	-195	4421	-180	
4422	-195	4422	-182	
4423	-198	4423	-183	
4424	-205	4424	-185	
4425	-209	4425	-188	
4426	-210	4426	-191	
4427	-209	4427	-193	
4428	-210	4428	-195	
4429	-216	4429	-197	
4430	-225	4430	-200	
4431	-231	4431	-203	
4432	-232	4432	-207	
4433	-228	4433	-209	
4434	-223	4434	-211	
4435	-224	4435	-213	
4436	-229	4436	-214	
4437	-234	4437	-217	
4438	-236	4438	-219	
4439	-232	4439	-221	
4440	-224	4440	-222	
4441	-216	4441	-221	
4442	-215	4442	-221	
4443	-220	4443	-220	
4444	-225	4444	-220	
4445	-226	4445	-221	
4446	-222	4446	-221	
4447	-216	4447	-221	
4448	-211	4448	-220	
4449	-213	4449	-219	
4450	-217	4450	-219	
4451	-219	4451	-219	
4452	-213	4452	-218	
4453	-203	4453	-217	
4454	-196	4454	-215	
4455	-194	4455	-213	
4456	-196	4456	-210	
4457	-198	4457	-209	
4458	-196	4458	-207	
4459	-187	4459	-206	
4460	-177	4460	-203	
4461	-172	4461	-199	
4462	-175	4462	-196	
4463	-183	4463	-194	
4464	-189	4464	-193	
4465	-190	4465	-193	
4466	-185	4466	-192	
4467	-180	4467	-191	
4468	-181	4468	-190	
4469	-186	4469	-189	
4470	-193	4470	-189	
4471	-196	4471	-190	
4472	-192	4472	-190	
4473	-185	4473	-190	
4474	-180	4474	-189	
4475	-180	4475	-188	
4476	-185	4476	-187	
4477	-191	4477	-187	
4478	-192	4478	-188	
4479	-192	4479	-188	
4480	-193	4480	-189	
4481	-198	4481	-190	
4482	-208	4482	-191	
4483	-218	4483	-194	
4484	-223	4484	-197	
4485	-223	4485	-200	
4486	-218	4486	-203	
4487	-215	4487	-204	
4488	-217	4488	-206	
4489	-222	4489	-207	
4490	-226	4490	-209	
4491	-227	4491	-211	
4492	-225	4492	-213	
4493	-222	4493	-214	
4494	-223	4494	-215	
4495	-227	4495	-216	
4496	-232	4496	-218	
4497	-235	4497	-220	
4498	-235	4498	-222	
4499	-233	4499	-223	
4500	-234	4500	-224	
4501	-237	4501	-226	
4502	-241	4502	-227	
4503	-243	4503	-229	
4504	-241	4504	-231	
4505	-237	4505	-232	
4506	-231	4506	-232	
4507	-228	4507	-232	
4508	-227	4508	-231	
4509	-225	4509	-230	
4510	-219	4510	-230	
4511	-211	4511	-228	
4512	-203	4512	-225	
4513	-199	4513	-222	
4514	-199	4514	-220	
4515	-201	4515	-217	
4516	-202	4516	-215	
4517	-198	4517	-214	
4518	-195	4518	-212	
4519	-192	4519	-209	
4520	-191	4520	-207	
4521	-192	4521	-205	
4522	-191	4522	-204	
4523	-187	4523	-202	
4524	-180	4524	-200	
4525	-173	4525	-197	
4526	-169	4526	-194	
4527	-168	4527	-191	
4528	-167	4528	-188	
4529	-164	4529	-185	
4530	-156	4530	-182	
4531	-147	4531	-179	
4532	-145	4532	-175	
4533	-148	4533	-171	
4534	-155	4534	-169	
4535	-162	4535	-168	
4536	-165	4536	-167	
4537	-163	4537	-167	
4538	-160	4538	-166	
4539	-161	4539	-165	
4540	-166	4540	-165	
4541	-172	4541	-166	
4542	-173	4542	-167	
4543	-170	4543	-167	
4544	-164	4544	-167	
4545	-161	4545	-167	
4546	-165	4546	-166	
4547	-171	4547	-166	
4548	-176	4548	-167	
4549	-176	4549	-168	
4550	-174	4550	-169	
4551	-173	4551	-169	
4552	-179	4552	-170	
4553	-189	4553	-172	
4554	-202	4554	-175	
4555	-210	4555	-179	
4556	-210	4556	-182	
4557	-209	4557	-186	
4558	-208	4558	-188	
4559	-212	4559	-191	
4560	-219	4560	-194	
4561	-225	4561	-197	
4562	-225	4562	-201	
4563	-219	4563	-203	
4564	-213	4564	-205	
4565	-210	4565	-205	
4566	-214	4566	-206	
4567	-218	4567	-207	
4568	-220	4568	-209	
4569	-216	4569	-210	
4570	-211	4570	-210	
4571	-211	4571	-210	
4572	-217	4572	-211	
4573	-225	4573	-212	
4574	-229	4574	-214	
4575	-226	4575	-215	
4576	-218	4576	-216	
4577	-210	4577	-216	
4578	-207	4578	-215	
4579	-208	4579	-214	
4580	-212	4580	-214	
4581	-210	4581	-213	
4582	-200	4582	-212	
4583	-186	4583	-210	
4584	-178	4584	-207	
4585	-176	4585	-203	
4586	-176	4586	-200	
4587	-176	4587	-197	
4588	-173	4588	-194	
4589	-165	4589	-191	
4590	-158	4590	-188	
4591	-159	4591	-184	
4592	-163	4592	-181	
4593	-168	4593	-179	
4594	-166	4594	-178	
4595	-158	4595	-176	
4596	-148	4596	-173	
4597	-140	4597	-170	
4598	-141	4598	-166	
4599	-144	4599	-163	
4600	-144	4600	-161	
4601	-137	4601	-159	
4602	-125	4602	-155	
4603	-114	4603	-151	
4604	-113	4604	-146	
4605	-122	4605	-143	
4606	-131	4606	-141	
4607	-139	4607	-140	
4608	-139	4608	-140	
4609	-136	4609	-140	
4610	-136	4610	-139	
4611	-142	4611	-139	
4612	-152	4612	-140	
4613	-162	4613	-142	
4614	-165	4614	-145	
4615	-158	4615	-147	
4616	-152	4616	-148	
4617	-152	4617	-148	
4618	-160	4618	-149	
4619	-170	4619	-151	
4620	-176	4620	-154	
4621	-175	4621	-156	
4622	-170	4622	-158	
4623	-170	4623	-160	
4624	-178	4624	-161	
4625	-194	4625	-164	
4626	-207	4626	-169	
4627	-213	4627	-174	
4628	-210	4628	-178	
4629	-205	4629	-182	
4630	-205	4630	-184	
4631	-212	4631	-187	
4632	-223	4632	-191	
4633	-229	4633	-195	
4634	-228	4634	-199	
4635	-222	4635	-202	
4636	-215	4636	-204	
4637	-215	4637	-205	
4638	-220	4638	-207	
4639	-226	4639	-209	
4640	-226	4640	-211	
4641	-219	4641	-212	
4642	-211	4642	-213	
4643	-210	4643	-212	
4644	-214	4644	-212	
4645	-223	4645	-213	
4646	-229	4646	-214	
4647	-224	4647	-216	
4648	-215	4648	-216	
4649	-207	4649	-216	
4650	-205	4650	-215	
4651	-207	4651	-213	
4652	-209	4652	-213	
4653	-205	4653	-212	
4654	-192	4654	-211	
4655	-175	4655	-207	
4656	-162	4656	-203	
4657	-158	4657	-197	
4658	-161	4658	-193	
4659	-164	4659	-189	
4660	-162	4660	-186	
4661	-155	4661	-183	
4662	-149	4662	-179	
4663	-149	4663	-176	
4664	-156	4664	-173	
4665	-161	4665	-171	
4666	-160	4666	-170	
4667	-151	4667	-168	
4668	-140	4668	-166	
4669	-131	4669	-162	
4670	-130	4670	-158	
4671	-134	4671	-155	
4672	-137	4672	-153	
4673	-134	4673	-151	
4674	-126	4674	-148	
4675	-118	4675	-145	
4676	-121	4676	-142	
4677	-133	4677	-140	
4678	-146	4678	-140	
4679	-155	4679	-141	
4680	-156	4680	-143	
4681	-153	4681	-144	
4682	-152	4682	-145	
4683	-157	4683	-146	
4684	-166	4684	-148	
4685	-177	4685	-151	
4686	-180	4686	-154	
4687	-179	4687	-157	
4688	-175	4688	-160	
4689	-177	4689	-162	
4690	-186	4690	-164	
4691	-197	4691	-167	
4692	-206	4692	-171	
4693	-208	4693	-176	
4694	-206	4694	-179	
4695	-206	4695	-182	
4696	-213	4696	-186	
4697	-226	4697	-190	
4698	-240	4698	-195	
4699	-248	4699	-201	
4700	-248	4700	-206	
4701	-246	4701	-211	
4702	-246	4702	-215	
4703	-254	4703	-219	
4704	-264	4704	-224	
4705	-271	4705	-229	
4706	-271	4706	-234	
4707	-266	4707	-238	
4708	-258	4708	-241	
4709	-254	4709	-243	
4710	-257	4710	-244	
4711	-259	4711	-246	
4712	-259	4712	-248	
4713	-253	4713	-249	
4714	-248	4714	-249	
4715	-247	4715	-249	
4716	-251	4716	-249	
4717	-257	4717	-249	
4718	-259	4718	-250	
4719	-255	4719	-251	
4720	-245	4720	-251	
4721	-235	4721	-250	
4722	-229	4722	-248	
4723	-226	4723	-245	
4724	-225	4724	-243	
4725	-220	4725	-240	
4726	-210	4726	-238	
4727	-196	4727	-233	
4728	-186	4728	-228	
4729	-183	4729	-223	
4730	-185	4730	-218	
4731	-186	4731	-214	
4732	-184	4732	-211	
4733	-178	4733	-207	
4734	-172	4734	-203	
4735	-170	4735	-199	
4736	-171	4736	-196	
4737	-172	4737	-193	
4738	-169	4738	-190	
4739	-162	4739	-187	
4740	-154	4740	-184	
4741	-146	4741	-180	
4742	-145	4742	-176	
4743	-147	4743	-172	
4744	-149	4744	-169	
4745	-147	4745	-167	
4746	-143	4746	-164	
4747	-139	4747	-161	
4748	-141	4748	-159	
4749	-147	4749	-157	
4750	-156	4750	-156	
4751	-163	4751	-157	
4752	-164	4752	-158	
4753	-163	4753	-158	
4754	-164	4754	-159	
4755	-167	4755	-160	
4756	-173	4756	-161	
4757	-179	4757	-163	
4758	-181	4758	-165	
4759	-179	4759	-167	
4760	-179	4760	-168	
4761	-181	4761	-169	
4762	-187	4762	-171	
4763	-193	4763	-173	
4764	-196	4764	-176	
4765	-198	4765	-179	
4766	-198	4766	-181	
4767	-202	4767	-183	
4768	-209	4768	-186	
4769	-219	4769	-189	
4770	-226	4770	-193	
4771	-228	4771	-197	
4772	-225	4772	-201	
4773	-222	4773	-203	
4774	-223	4774	-206	
4775	-229	4775	-208	
4776	-234	4776	-211	
4777	-235	4777	-214	
4778	-231	4778	-216	
4779	-225	4779	-218	
4780	-219	4780	-218	
4781	-216	4781	-218	
4782	-216	4782	-218	
4783	-215	4783	-217	
4784	-212	4784	-217	
4785	-207	4785	-216	
4786	-203	4786	-215	
4787	-203	4787	-213	
4788	-204	4788	-212	
4789	-206	4789	-211	
4790	-205	4790	-211	
4791	-198	4791	-209	
4792	-189	4792	-208	
4793	-182	4793	-205	
4794	-177	4794	-202	
4795	-173	4795	-199	
4796	-166	4796	-195	
4797	-156	4797	-191	
4798	-143	4798	-186	
4799	-132	4799	-180	
4800	-125	4800	-174	
4801	-124	4801	-168	
4802	-124	4802	-163	
4803	-124	4803	-158	
4804	-123	4804	-154	
4805	-118	4805	-150	
4806	-114	4806	-146	
4807	-111	4807	-142	
4808	-111	4808	-138	
4809	-108	4809	-135	
4810	-104	4810	-131	
4811	-99	4811	-128	
4812	-93	4812	-124	
4813	-90	4813	-120	
4814	-89	4814	-117	
4815	-89	4815	-113	
4816	-87	4816	-110	
4817	-84	4817	-107	
4818	-84	4818	-105	
4819	-86	4819	-102	
4820	-91	4820	-101	
4821	-99	4821	-100	
4822	-106	4822	-100	
4823	-109	4823	-101	
4824	-110	4824	-102	
4825	-111	4825	-103	
4826	-114	4826	-104	
4827	-119	4827	-106	
4828	-125	4828	-108	
4829	-130	4829	-110	
4830	-134	4830	-113	
4831	-138	4831	-115	
4832	-142	4832	-118	
4833	-147	4833	-121	
4834	-152	4834	-125	
4835	-156	4835	-128	
4836	-160	4836	-132	
4837	-163	4837	-135	
4838	-168	4838	-139	
4839	-175	4839	-143	
4840	-182	4840	-147	
4841	-189	4841	-152	
4842	-193	4842	-156	
4843	-196	4843	-161	
4844	-199	4844	-165	
4845	-202	4845	-169	
4846	-207	4846	-174	
4847	-210	4847	-178	
4848	-211	4848	-182	
4849	-209	4849	-185	
4850	-205	4850	-188	
4851	-201	4851	-190	
4852	-199	4852	-191	
4853	-199	4853	-192	
4854	-201	4854	-193	
4855	-202	4855	-194	
4856	-202	4856	-195	
4857	-203	4857	-196	
4858	-205	4858	-197	
4859	-207	4859	-198	
4860	-209	4860	-199	
4861	-208	4861	-200	
4862	-204	4862	-201	
4863	-198	4863	-201	
4864	-192	4864	-200	
4865	-186	4865	-199	
4866	-183	4866	-197	
4867	-179	4867	-195	
4868	-174	4868	-193	
4869	-167	4869	-190	
4870	-160	4870	-187	
4871	-156	4871	-184	
4872	-157	4872	-180	
4873	-160	4873	-178	
4874	-162	4874	-176	
4875	-163	4875	-174	
4876	-163	4876	-173	
4877	-162	4877	-172	
4878	-161	4878	-171	
4879	-160	4879	-169	
4880	-160	4880	-168	
4881	-158	4881	-167	
4882	-155	4882	-166	
4883	-152	4883	-164	
4884	-150	4884	-163	
4885	-149	4885	-161	
4886	-149	4886	-160	
4887	-151	4887	-158	
4888	-152	4888	-158	
4889	-153	4889	-157	
4890	-156	4890	-157	
4891	-162	4891	-157	
4892	-170	4892	-158	
4893	-177	4893	-160	
4894	-182	4894	-162	
4895	-183	4895	-165	
4896	-185	4896	-167	
4897	-187	4897	-169	
4898	-191	4898	-172	
4899	-197	4899	-174	
4900	-203	4900	-177	
4901	-208	4901	-181	
4902	-211	4902	-184	
4903	-212	4903	-187	
4904	-214	4904	-191	
4905	-219	4905	-194	
4906	-225	4906	-197	
4907	-230	4907	-201	
4908	-233	4908	-204	
4909	-236	4909	-208	
4910	-241	4910	-212	
4911	-246	4911	-215	
4912	-252	4912	-219	
4913	-256	4913	-223	
4914	-257	4914	-227	
4915	-258	4915	-231	
4916	-259	4916	-234	
4917	-261	4917	-237	
4918	-263	4918	-240	
4919	-264	4919	-243	
4920	-262	4920	-246	
4921	-258	4921	-247	
4922	-251	4922	-248	
4923	-246	4923	-248	
4924	-243	4924	-248	
4925	-241	4925	-247	
4926	-242	4926	-246	
4927	-243	4927	-246	
4928	-242	4928	-245	
4929	-241	4929	-245	
4930	-240	4930	-244	
4931	-239	4931	-244	
4932	-238	4932	-243	
4933	-237	4933	-243	
4934	-231	4934	-241	
4935	-224	4935	-240	
4936	-215	4936	-237	
4937	-207	4937	-234	
4938	-200	4938	-231	
4939	-194	4939	-227	
4940	-187	4940	-222	
4941	-180	4941	-218	
4942	-175	4942	-213	
4943	-174	4943	-208	
4944	-175	4944	-204	
4945	-178	4945	-201	
4946	-180	4946	-198	
4947	-178	4947	-196	
4948	-173	4948	-194	
4949	-167	4949	-191	
4950	-163	4950	-188	
4951	-161	4951	-185	
4952	-161	4952	-182	
4953	-159	4953	-179	
4954	-154	4954	-177	
4955	-149	4955	-174	
4956	-145	4956	-170	
4957	-142	4957	-167	
4958	-144	4958	-164	
4959	-146	4959	-162	
4960	-148	4960	-160	
4961	-148	4961	-159	
4962	-149	4962	-158	
4963	-150	4963	-157	
4964	-153	4964	-156	
4965	-158	4965	-156	
4966	-162	4966	-156	
4967	-163	4967	-157	
4968	-162	4968	-158	
4969	-160	4969	-158	
4970	-161	4970	-158	
4971	-164	4971	-159	
4972	-166	4972	-160	
4973	-167	4973	-161	
4974	-165	4974	-161	
4975	-163	4975	-162	
4976	-162	4976	-162	
4977	-161	4977	-162	
4978	-164	4978	-162	
4979	-168	4979	-162	
4980	-170	4980	-163	
4981	-172	4981	-164	
4982	-172	4982	-165	
4983	-173	4983	-166	
4984	-176	4984	-167	
4985	-179	4985	-168	
4986	-181	4986	-170	
4987	-181	4987	-171	
4988	-180	4988	-172	
4989	-179	4989	-173	
4990	-177	4990	-174	
4991	-173	4991	-174	
4992	-169	4992	-174	
4993	-164	4993	-173	
4994	-160	4994	-171	
4995	-157	4995	-170	
4996	-156	4996	-168	
4997	-156	4997	-167	
4998	-158	4998	-166	
4999	-161	4999	-165	
5000	-160	5000	-164	
5001	-157	5001	-164	
5002	-154	5002	-163	
5003	-150	5003	-161	
5004	-146	5004	-160	
5005	-143	5005	-158	
5006	-139	5006	-156	
5007	-133	5007	-154	
5008	-126	5008	-151	
5009	-121	5009	-147	
5010	-116	5010	-144	
5011	-113	5011	-140	
5012	-112	5012	-137	
5013	-111	5013	-134	
5014	-113	5014	-131	
5015	-116	5015	-129	
5016	-117	5016	-128	
5017	-118	5017	-127	
5018	-118	5018	-126	
5019	-117	5019	-125	
5020	-116	5020	-124	
5021	-114	5021	-123	
5022	-114	5022	-122	
5023	-115	5023	-121	
5024	-115	5024	-120	
5025	-114	5025	-120	
5026	-114	5026	-119	
5027	-114	5027	-118	
5028	-114	5028	-118	
5029	-116	5029	-117	
5030	-119	5030	-117	
5031	-124	5031	-118	
5032	-131	5032	-119	
5033	-136	5033	-121	
5034	-141	5034	-123	
5035	-143	5035	-125	
5036	-145	5036	-127	
5037	-147	5037	-130	
5038	-150	5038	-132	
5039	-153	5039	-134	
5040	-156	5040	-137	
5041	-159	5041	-139	
5042	-162	5042	-142	
5043	-166	5043	-144	
5044	-170	5044	-147	
5045	-173	5045	-150	
5046	-176	5046	-153	
5047	-179	5047	-156	
5048	-181	5048	-159	
5049	-184	5049	-162	
5050	-186	5050	-164	
5051	-190	5051	-167	
5052	-195	5052	-170	
5053	-198	5053	-173	
5054	-199	5054	-176	
5055	-200	5055	-179	
5056	-201	5056	-182	
5057	-204	5057	-184	
5058	-206	5058	-187	
5059	-206	5059	-189	
5060	-205	5060	-191	
5061	-202	5061	-192	
