X,Y,Z,X2,Y2,Z2,X_blur,Y_blur,Z_blur,time
-8.1e-06,5.2e-06,4.8e-06,-1.62e-05,1.04e-05,9.6e-06,-0.12,0.18,0.18,4766.8
-8.1e-06,5.4e-06,4.7e-06,-1.62e-05,1.08e-05,9.4e-06,0,0.36,-0.18,4767
-8.5e-06,5.3e-06,4.7e-06,-1.7e-05,1.06e-05,9.4e-06,-0.24,-0.18,0,4767.2
-8.5e-06,5.5e-06,4.8e-06,-1.7e-05,1.1e-05,9.6e-06,0,0.36,0.18,4767.4
-8.8e-06,5.5e-06,4.9e-06,-1.76e-05,1.1e-05,9.8e-06,-0.18,0,0.18,4767.6
-9e-06,5.6e-06,4.9e-06,-1.8e-05,1.12e-05,9.8e-06,-0.12,0.18,0,4767.8
-9.1e-06,5.8e-06,4.9e-06,-1.82e-05,1.16e-05,9.8e-06,-0.0599999999999994,0.360000000000001,0,4768
-9.2e-06,5.8e-06,4.9e-06,-1.84e-05,1.16e-05,9.8e-06,-0.0600000000000004,0,0,4768.2
-9.3e-06,6.1e-06,5e-06,-1.86e-05,1.22e-05,1e-05,-0.0600000000000004,0.539999999999999,0.180000000000001,4768.4
-9.2e-06,5.9e-06,5.2e-06,-1.84e-05,1.18e-05,1.04e-05,0.0600000000000004,-0.36,0.36,4768.6
-9.3e-06,5.8e-06,5.1e-06,-1.86e-05,1.16e-05,1.02e-05,-0.0600000000000004,-0.18,-0.18,4768.8
-9.5e-06,5.8e-06,4.9e-06,-1.9e-05,1.16e-05,9.8e-06,-0.12,0,-0.360000000000001,4769
-9.6e-06,5.6e-06,4.9e-06,-1.92e-05,1.12e-05,9.8e-06,-0.0599999999999994,-0.360000000000001,0,4769.2
-9.5e-06,5.6e-06,5.1e-06,-1.9e-05,1.12e-05,1.02e-05,0.0599999999999994,0,0.360000000000001,4769.4
-9.7e-06,5.5e-06,5.1e-06,-1.94e-05,1.1e-05,1.02e-05,-0.12,-0.18,0,4769.6
-9.8e-06,5.2e-06,4.9e-06,-1.96e-05,1.04e-05,9.8e-06,-0.0599999999999994,-0.539999999999999,-0.360000000000001,4769.8
-9.9e-06,5.1e-06,5e-06,-1.98e-05,1.02e-05,1e-05,-0.0600000000000004,-0.18,0.180000000000001,4770
-9.9e-06,4.8e-06,4.8e-06,-1.98e-05,9.6e-06,9.6e-06,0,-0.540000000000001,-0.360000000000001,4770.2
-1e-05,4.8e-06,4.8e-06,-2e-05,9.6e-06,9.6e-06,-0.0600000000000004,0,0,4770.4
-1.01e-05,4.6e-06,4.6e-06,-2.02e-05,9.2e-06,9.2e-06,-0.0599999999999994,-0.36,-0.36,4770.6
-1.02e-05,4.6e-06,4.5e-06,-2.04e-05,9.2e-06,9e-06,-0.0600000000000004,0,-0.18,4770.8
-1.03e-05,4.4e-06,4.3e-06,-2.06e-05,8.8e-06,8.6e-06,-0.0599999999999994,-0.36,-0.36,4771
-1.05e-05,4.3e-06,4.3e-06,-2.1e-05,8.6e-06,8.6e-06,-0.12,-0.18,0,4771.2
-1.08e-05,3.9e-06,4e-06,-2.16e-05,7.8e-06,8e-06,-0.18,-0.720000000000001,-0.540000000000001,4771.4
-1.1e-05,3.8e-06,4.1e-06,-2.2e-05,7.6e-06,8.2e-06,-0.12,-0.18,0.18,4771.6
-1.11e-05,3.6e-06,3.9e-06,-2.22e-05,7.2e-06,7.8e-06,-0.0600000000000004,-0.36,-0.36,4771.8
-1.11e-05,3.6e-06,3.7e-06,-2.22e-05,7.2e-06,7.4e-06,0,0,-0.36,4772
-1.11e-05,3.5e-06,3.4e-06,-2.22e-05,7e-06,6.8e-06,0,-0.18,-0.54,4772.2
-1.1e-05,3.4e-06,3.4e-06,-2.2e-05,6.8e-06,6.8e-06,0.0600000000000004,-0.18,0,4772.4
-1.08e-05,3.3e-06,3.1e-06,-2.16e-05,6.6e-06,6.2e-06,0.12,-0.18,-0.54,4772.6
-1.05e-05,3.3e-06,2.9e-06,-2.1e-05,6.6e-06,5.8e-06,0.18,0,-0.36,4772.8
-1.01e-05,3.6e-06,2.9e-06,-2.02e-05,7.2e-06,5.8e-06,0.24,0.539999999999999,0,4773
-9.9e-06,3.6e-06,2.7e-06,-1.98e-05,7.2e-06,5.4e-06,0.12,0,-0.36,4773.2
-9.6e-06,3.8e-06,2.6e-06,-1.92e-05,7.6e-06,5.2e-06,0.18,0.36,-0.18,4773.4
-9.5e-06,3.9e-06,2.6e-06,-1.9e-05,7.8e-06,5.2e-06,0.0599999999999994,0.18,0,4773.6
-9.6e-06,4.2e-06,2.4e-06,-1.92e-05,8.4e-06,4.8e-06,-0.0599999999999994,0.539999999999999,-0.36,4773.8
-9.7e-06,4.3e-06,2.1e-06,-1.94e-05,8.6e-06,4.2e-06,-0.0600000000000004,0.180000000000001,-0.54,4774
-9.6e-06,4.6e-06,2.3e-06,-1.92e-05,9.2e-06,4.6e-06,0.0600000000000004,0.539999999999999,0.36,4774.2
-9.8e-06,4.8e-06,2.1e-06,-1.96e-05,9.6e-06,4.2e-06,-0.12,0.36,-0.36,4774.4
-9.9e-06,5.1e-06,2.2e-06,-1.98e-05,1.02e-05,4.4e-06,-0.0600000000000004,0.540000000000001,0.180000000000001,4774.6
-9.9e-06,5.2e-06,2e-06,-1.98e-05,1.04e-05,4e-06,0,0.18,-0.36,4774.8
-1.03e-05,5.5e-06,2.1e-06,-2.06e-05,1.1e-05,4.2e-06,-0.24,0.539999999999999,0.18,4775
-1.01e-05,5.9e-06,2e-06,-2.02e-05,1.18e-05,4e-06,0.12,0.720000000000001,-0.18,4775.2
-1.02e-05,6e-06,2.1e-06,-2.04e-05,1.2e-05,4.2e-06,-0.0600000000000004,0.18,0.18,4775.4
-1e-05,6.3e-06,2.1e-06,-2e-05,1.26e-05,4.2e-06,0.12,0.539999999999999,0,4775.6
-9.8e-06,6.8e-06,2.1e-06,-1.96e-05,1.36e-05,4.2e-06,0.120000000000001,0.900000000000001,0,4775.8
-9.7e-06,6.9e-06,1.9e-06,-1.94e-05,1.38e-05,3.8e-06,0.0599999999999994,0.18,-0.36,4776
-9.3e-06,7.2e-06,2e-06,-1.86e-05,1.44e-05,4e-06,0.24,0.539999999999999,0.18,4776.2
-9e-06,7.3e-06,2e-06,-1.8e-05,1.46e-05,4e-06,0.18,0.180000000000001,0,4776.4
-8.8e-06,7.5e-06,2e-06,-1.76e-05,1.5e-05,4e-06,0.12,0.36,0,4776.6
-8.8e-06,7.4e-06,2e-06,-1.76e-05,1.48e-05,4e-06,0,-0.18,0,4776.8
-8.7e-06,7.4e-06,1.9e-06,-1.74e-05,1.48e-05,3.8e-06,0.0600000000000004,0,-0.18,4777
-8.8e-06,7.5e-06,1.9e-06,-1.76e-05,1.5e-05,3.8e-06,-0.0600000000000004,0.18,0,4777.2
-8.7e-06,7.4e-06,2e-06,-1.74e-05,1.48e-05,4e-06,0.0600000000000004,-0.18,0.18,4777.4
-9.1e-06,6.9e-06,2e-06,-1.82e-05,1.38e-05,4e-06,-0.24,-0.900000000000001,0,4777.6
-9.2e-06,6.8e-06,2e-06,-1.84e-05,1.36e-05,4e-06,-0.0600000000000004,-0.18,0,4777.8
-9.4e-06,6.5e-06,2.1e-06,-1.88e-05,1.3e-05,4.2e-06,-0.12,-0.540000000000001,0.18,4778
-9.6e-06,6.2e-06,1.8e-06,-1.92e-05,1.24e-05,3.6e-06,-0.12,-0.539999999999999,-0.54,4778.2
-9.6e-06,6e-06,1.7e-06,-1.92e-05,1.2e-05,3.4e-06,0,-0.36,-0.18,4778.4
-9.5e-06,5.8e-06,1.7e-06,-1.9e-05,1.16e-05,3.4e-06,0.0599999999999994,-0.36,0,4778.6
-9.2e-06,5.8e-06,1.9e-06,-1.84e-05,1.16e-05,3.8e-06,0.18,0,0.36,4778.8
-9.2e-06,5.4e-06,1.8e-06,-1.84e-05,1.08e-05,3.6e-06,0,-0.720000000000001,-0.18,4779
-8.8e-06,5.6e-06,2e-06,-1.76e-05,1.12e-05,4e-06,0.24,0.36,0.36,4779.2
-8.5e-06,5.8e-06,2.1e-06,-1.7e-05,1.16e-05,4.2e-06,0.18,0.360000000000001,0.18,4779.4
-8.3e-06,5.4e-06,1.9e-06,-1.66e-05,1.08e-05,3.8e-06,0.12,-0.720000000000001,-0.36,4779.6
-8e-06,5.4e-06,1.9e-06,-1.6e-05,1.08e-05,3.8e-06,0.18,0,0,4779.8
-7.9e-06,5.6e-06,2.1e-06,-1.58e-05,1.12e-05,4.2e-06,0.0599999999999994,0.36,0.36,4780
-8e-06,5.7e-06,2.2e-06,-1.6e-05,1.14e-05,4.4e-06,-0.0599999999999994,0.18,0.180000000000001,4780.2
-8.1e-06,5.6e-06,2e-06,-1.62e-05,1.12e-05,4e-06,-0.0600000000000004,-0.18,-0.36,4780.4
-8.3e-06,5.7e-06,2.3e-06,-1.66e-05,1.14e-05,4.6e-06,-0.12,0.18,0.54,4780.6
-8.6e-06,5.5e-06,2e-06,-1.72e-05,1.1e-05,4e-06,-0.18,-0.36,-0.54,4780.8
-8.6e-06,5.7e-06,2.2e-06,-1.72e-05,1.14e-05,4.4e-06,0,0.36,0.36,4781
-8.8e-06,6e-06,2.4e-06,-1.76e-05,1.2e-05,4.8e-06,-0.12,0.540000000000001,0.36,4781.2
-9e-06,5.9e-06,2.1e-06,-1.8e-05,1.18e-05,4.2e-06,-0.12,-0.18,-0.54,4781.4
-9e-06,6.1e-06,2.5e-06,-1.8e-05,1.22e-05,5e-06,0,0.36,0.720000000000001,4781.6
-8.7e-06,6.4e-06,2.2e-06,-1.74e-05,1.28e-05,4.4e-06,0.18,0.539999999999999,-0.54,4781.8
-8.8e-06,6.5e-06,2.4e-06,-1.76e-05,1.3e-05,4.8e-06,-0.0600000000000004,0.18,0.36,4782
-8.4e-06,6.6e-06,2.4e-06,-1.68e-05,1.32e-05,4.8e-06,0.240000000000001,0.180000000000001,0,4782.2
-8.2e-06,6.9e-06,2.5e-06,-1.64e-05,1.38e-05,5e-06,0.12,0.539999999999999,0.180000000000001,4782.4
-7.9e-06,6.8e-06,2.4e-06,-1.58e-05,1.36e-05,4.8e-06,0.179999999999999,-0.18,-0.180000000000001,4782.6
-7.7e-06,7.1e-06,2.5e-06,-1.54e-05,1.42e-05,5e-06,0.12,0.539999999999999,0.180000000000001,4782.8
-7.6e-06,7e-06,2.6e-06,-1.52e-05,1.4e-05,5.2e-06,0.0600000000000004,-0.18,0.18,4783
-7.6e-06,7e-06,2.5e-06,-1.52e-05,1.4e-05,5e-06,0,0,-0.18,4783.2
-7.6e-06,7e-06,2.6e-06,-1.52e-05,1.4e-05,5.2e-06,0,0,0.18,4783.4
-7.7e-06,6.8e-06,2.7e-06,-1.54e-05,1.36e-05,5.4e-06,-0.0600000000000004,-0.36,0.18,4783.6
-7.8e-06,6.8e-06,2.7e-06,-1.56e-05,1.36e-05,5.4e-06,-0.0599999999999994,0,0,4783.8
-7.9e-06,6.6e-06,3e-06,-1.58e-05,1.32e-05,6e-06,-0.0600000000000004,-0.36,0.54,4784
-8.1e-06,6.5e-06,3.2e-06,-1.62e-05,1.3e-05,6.4e-06,-0.12,-0.180000000000001,0.36,4784.2
-8.3e-06,6.1e-06,3.1e-06,-1.66e-05,1.22e-05,6.2e-06,-0.12,-0.719999999999999,-0.18,4784.4
-8.2e-06,6.4e-06,3.6e-06,-1.64e-05,1.28e-05,7.2e-06,0.0600000000000004,0.539999999999999,0.9,4784.6
-8.2e-06,6.1e-06,3.7e-06,-1.64e-05,1.22e-05,7.4e-06,0,-0.539999999999999,0.180000000000001,4784.8
-8.1e-06,6.2e-06,3.8e-06,-1.62e-05,1.24e-05,7.6e-06,0.0599999999999994,0.18,0.18,4785
-8.1e-06,5.8e-06,3.9e-06,-1.62e-05,1.16e-05,7.8e-06,0,-0.719999999999999,0.18,4785.2
-7.8e-06,5.8e-06,4e-06,-1.56e-05,1.16e-05,8e-06,0.18,0,0.18,4785.4
-7.5e-06,5.7e-06,4.1e-06,-1.5e-05,1.14e-05,8.2e-06,0.18,-0.180000000000001,0.18,4785.6
-7.2e-06,5.9e-06,4.4e-06,-1.44e-05,1.18e-05,8.8e-06,0.18,0.360000000000001,0.540000000000001,4785.8
-7.1e-06,5.8e-06,4.6e-06,-1.42e-05,1.16e-05,9.2e-06,0.0599999999999999,-0.18,0.36,4786
-7e-06,5.9e-06,4.7e-06,-1.4e-05,1.18e-05,9.4e-06,0.0599999999999999,0.18,0.18,4786.2
-7e-06,5.8e-06,4.7e-06,-1.4e-05,1.16e-05,9.4e-06,0,-0.18,0,4786.4
