Vx,Vy,Vz
-2.8e-06,3.2e-05,2.46e-05
-1.4e-06,3.2e-05,2.31e-05
-6e-07,3.13e-05,2.46e-05
9e-07,3.05e-05,2.38e-05
2e-07,3.12e-05,2.38e-05
1.7e-06,3.27e-05,2.54e-05
3.9e-06,2.97e-05,2.31e-05
2.4e-06,3.2e-05,2.54e-05
1.7e-06,3.12e-05,2.54e-05
1.7e-06,2.9e-05,2.46e-05
-1.3e-06,2.9e-05,2.46e-05
-2.1e-06,2.75e-05,2.23e-05
-2.1e-06,2.9e-05,2.38e-05
-1.2e-06,2.76e-05,2.61e-05
-3.6e-06,2.83e-05,2.31e-05
-3.5e-06,2.76e-05,2.38e-05
-2.8e-06,2.6e-05,2.31e-05
-2e-06,2.83e-05,2.46e-05
1e-06,2.82e-05,2.46e-05
2.5e-06,2.97e-05,2.46e-05
1e-06,2.9e-05,2.54e-05
1.7e-06,3.04e-05,2.31e-05
3.2e-06,2.89e-05,2.31e-05
1.7e-06,2.9e-05,2.46e-05
9e-07,3.2e-05,2.38e-05
1e-06,3.13e-05,2.61e-05
-1.3e-06,3.05e-05,2.31e-05
-1.3e-06,3.05e-05,2.31e-05
-1.3e-06,3.13e-05,2.54e-05
-3.6e-06,3.2e-05,2.23e-05
-1.4e-06,3.12e-05,2.23e-05
-2e-06,2.98e-05,2.61e-05
-2.1e-06,3.28e-05,2.31e-05
1e-07,3.2e-05,2.31e-05
1e-07,3.2e-05,2.31e-05
1.7e-06,3.35e-05,2.61e-05
2.4e-06,3.12e-05,2.15e-05
3.9e-06,3.19e-05,2.23e-05
1.7e-06,3.12e-05,2.38e-05
2.4e-06,3.12e-05,2.31e-05
1.7e-06,3.2e-05,2.46e-05
9e-07,2.97e-05,2.31e-05
1.7e-06,3.04e-05,2.31e-05
-3.6e-06,2.75e-05,2.23e-05
-5e-07,2.98e-05,2.46e-05
-1.3e-06,2.83e-05,2.38e-05
-2.8e-06,2.83e-05,2.23e-05
-5e-07,2.75e-05,2.39e-05
-1.3e-06,2.98e-05,2.54e-05
-5e-07,2.67e-05,2.16e-05
1e-06,2.82e-05,2.46e-05
2.4e-06,3.04e-05,2.38e-05
2e-07,2.75e-05,2.31e-05
3.2e-06,3.04e-05,2.31e-05
4e-06,3.05e-05,2.54e-05
1e-06,3.13e-05,2.61e-05
3.2e-06,2.97e-05,2.23e-05
-5e-07,2.98e-05,2.46e-05
9e-07,3.2e-05,2.38e-05
-2.8e-06,2.91e-05,2.46e-05
-1.4e-06,3.05e-05,2.15e-05
-1.3e-06,3.13e-05,2.54e-05
-2.1e-06,3.2e-05,2.38e-05
-2.1e-06,2.98e-05,2.31e-05
9e-07,3.12e-05,2.46e-05
1e-07,3.35e-05,2.46e-05
2.4e-06,3.19e-05,2.38e-05
2.4e-06,3.27e-05,2.46e-05
1e-07,3.2e-05,2.31e-05
2.4e-06,3.12e-05,2.46e-05
3.2e-06,3.12e-05,2.38e-05
1.7e-06,3.12e-05,2.38e-05
9e-07,3.2e-05,2.54e-05
9e-07,2.9e-05,2.23e-05
-2.1e-06,2.83e-05,2.31e-05
-2.1e-06,2.98e-05,2.46e-05
-2e-06,2.91e-05,2.54e-05
2e-07,2.9e-05,2.31e-05
-2.8e-06,2.76e-05,2.46e-05
-2e-06,2.76e-05,2.54e-05
-2.1e-06,2.75e-05,2.23e-05
1e-06,2.98e-05,2.61e-05
1e-06,2.67e-05,2.16e-05
1.7e-06,2.97e-05,2.54e-05
1.7e-06,2.82e-05,2.39e-05
2.5e-06,2.97e-05,2.61e-05
1e-06,2.82e-05,2.31e-05
2.4e-06,3.04e-05,2.38e-05
2.4e-06,3.58e-05,2.92e-05
-5.2e-06,3.35e-05,2.23e-05
-6e-06,3.8e-05,2.15e-05
-4.5e-06,3.8e-05,2.15e-05
-9e-06,3.81e-05,2.3e-05
-4.5e-06,3.95e-05,2.3e-05
-1.5e-06,3.95e-05,2.3e-05
-1.5e-06,3.65e-05,2.15e-05
-7e-07,4.1e-05,2.69e-05
-6e-07,3.5e-05,2.54e-05
3.9e-06,3.57e-05,2.61e-05
4.7e-06,3.12e-05,2.54e-05
