Time [s],Channel 5
0.000000000,0
2.933867917,1
2.940882333,0
2.944769583,1
2.948135250,0
2.950545917,1
2.952897083,0
2.954706000,1
2.956555083,0
2.958026000,1
2.959568250,0
2.960821417,1
2.962158083,0
2.963259167,1
2.964447750,0
2.965435500,1
2.966510083,0
2.967410583,1
2.968398083,0
2.969225750,1
2.970140750,0
2.970910250,1
2.971762500,0
2.972484500,1
2.973287083,0
2.973965833,1
2.974722417,0
2.975366500,1
2.976083667,0
2.976695333,1
2.977377833,0
2.977961167,1
2.978612833,0
2.979170417,1
2.979795000,0
2.980330833,1
2.980928000,0
2.981441750,1
2.982021000,0
2.982513333,1
2.983068167,0
2.983544833,1
2.984081250,0
2.984542250,1
2.985061583,0
2.985507917,1
2.986011333,0
2.986444083,1
2.986932500,0
2.987352917,1
2.987827333,0
2.988235833,1
2.988697750,0
2.989095417,1
2.989549583,0
2.989933500,1
2.990372250,0
2.990750500,1
2.991179000,0
2.991548250,1
2.991966750,0
2.992327917,1
2.992737333,0
2.993090583,1
2.993493167,0
2.993836750,1
2.994229333,0
2.994568000,1
2.994952917,0
2.995285667,1
2.995662083,0
2.995987667,1
2.996358750,0
2.996677250,1
2.997041083,0
2.997354583,1
2.997711833,0
2.998020167,1
2.998371333,0
2.998674333,1
2.999019417,0
2.999317250,1
2.999657167,0
2.999950000,1
3.000284500,0
3.000572667,1
3.000901833,0
3.001185667,1
3.001509917,0
3.001789500,1
3.002109000,0
3.002386000,1
3.002699417,0
3.002971083,1
3.003282750,0
3.003549583,1
3.003856083,0
3.004120250,1
3.004423750,0
3.004683333,1
3.004981917,0
3.005239167,1
3.005534000,0
3.005788083,1
3.006079083,0
3.006330083,1
3.006617750,0
3.006865167,1
3.007149167,0
3.007394000,1
3.007676083,0
3.007917583,1
3.008194500,0
3.008433750,1
3.008708250,0
3.008944833,1
3.009216917,0
3.009449917,1
3.009718750,0
3.009949833,1
3.010217583,0
3.010446083,1
3.010707583,0
3.010934583,1
3.011195417,0
3.011418667,1
3.011676250,0
3.011898333,1
3.012153500,0
3.012373583,1
3.012625833,0
3.012843583,1
3.013093750,0
3.013309250,1
3.013557083,0
3.013770833,1
3.014016250,0
3.014228000,1
3.014473417,0
3.014680917,1
3.014922167,0
3.015130083,1
3.015369250,0
3.015575417,1
3.015812167,0
3.016016417,1
3.016251667,0
3.016454000,1
3.016689000,0
3.016887833,1
3.017120083,0
3.017318250,1
3.017548750,0
3.017745333,1
3.017975417,0
3.018168417,1
3.018396500,0
3.018588750,1
3.018815083,0
3.019005417,1
3.019230667,0
3.019419000,1
3.019643167,0
3.019829417,1
3.020052667,0
3.020237000,1
3.020458917,0
3.020641583,1
3.020862250,0
3.021043250,1
3.021262750,0
3.021441750,1
3.021660500,0
3.021837750,1
3.022055250,0
3.022230750,1
3.022447167,0
3.022621333,1
3.022836500,0
3.023009083,1
3.023224500,0
3.023394500,1
3.023607083,0
3.023777167,1
3.023988583,0
3.024157667,1
3.024367750,0
3.024535417,1
3.024744417,0
3.024911250,1
3.025118833,0
3.025284500,1
3.025490750,0
3.025655333,1
3.025860750,0
3.026023917,1
3.026228083,0
3.026390417,1
3.026593250,0
3.026754583,1
3.026956333,0
3.027116500,1
3.027317167,0
3.027476500,1
3.027676083,0
3.027834167,1
3.028032833,0
3.028190083,1
3.028387417,0
3.028543583,1
3.028739917,0
3.028895417,1
3.029090667,0
3.029245250,1
3.029440417,0
3.029593167,1
3.029787500,0
3.029939250,1
3.030131333,0
3.030283333,1
3.030474500,0
3.030626833,1
3.030816000,0
3.030966417,1
3.031155417,0
3.031305667,1
3.031493167,0
3.031643000,1
3.031829083,0
3.031978667,1
3.032163583,0
3.032312750,1
3.032495917,0
3.032645083,1
3.032826833,0
3.032975750,1
3.033156167,0
3.033304917,1
3.033483917,0
3.033632500,1
3.033810167,0
3.033958750,1
3.034134833,0
3.034285250,1
3.034459250,0
3.034606583,1
3.034780000,0
3.034928000,1
3.035100250,0
3.035248250,1
3.035421250,0
3.035567000,1
3.035736750,0
3.035884167,1
3.036053083,0
3.036200417,1
3.036368167,0
3.036514333,1
3.036681667,0
3.036827333,1
3.036994000,0
3.037139083,1
3.037305000,0
3.037449333,1
3.037614250,0
3.037758333,1
3.037922583,0
3.038065917,1
3.038229667,0
3.038372500,1
3.038535583,0
3.038677750,1
3.038840083,0
3.038981833,1
3.039143500,0
3.039284667,1
3.039445750,0
3.039586333,1
3.039746667,0
3.039887750,1
3.040046583,0
3.040186083,1
3.040345333,0
3.040484167,1
3.040642750,0
3.040781083,1
