Time [s],Channel 5
0.000000000,0
4.198998000,1
4.212689917,0
4.217545667,1
4.221339583,0
4.223931667,1
4.226388583,0
4.228250417,1
4.230129750,0
4.231614000,1
4.233158500,0
4.234408417,1
4.235733250,0
4.236821250,1
4.237990500,0
4.238960167,1
4.240011083,0
4.240891750,1
4.241852167,0
4.242660750,1
4.243549000,0
4.244297167,1
4.245123167,0
4.245824000,1
4.246598417,0
4.247256500,1
4.247986333,0
4.248607750,1
4.249297750,0
4.249887333,1
4.250543250,0
4.251105000,1
4.251730583,0
4.252267000,1
4.252865667,0
4.253380000,1
4.253954917,0
4.254449917,1
4.255002750,0
4.255478750,1
4.256012333,0
4.256472333,1
4.256987917,0
4.257432417,1
4.257932333,0
4.258362000,1
4.258846083,0
4.259264500,1
4.259733750,0
4.260138833,1
4.260596167,0
4.260989333,1
4.261433833,0
4.261817833,1
4.262250833,0
4.262625417,1
4.263047833,0
4.263413333,1
4.263825667,0
4.264182583,1
4.264585667,0
4.264934583,1
4.265329167,0
4.265670500,1
4.266057417,0
4.266390333,1
4.266768500,0
4.267095667,1
4.267467583,0
4.267786667,1
4.268150083,0
4.268464250,1
4.268820917,0
4.269129500,1
4.269479250,0
4.269782167,1
4.270125667,0
4.270423333,1
4.270761333,0
4.271053833,1
4.271386083,0
4.271673667,1
4.272000500,0
4.272283333,1
4.272605167,0
4.272885500,1
4.273200417,0
4.273474667,1
4.273788833,0
4.274056917,1
4.274364833,0
4.274631000,1
4.274934333,0
4.275196667,1
4.275497250,0
4.275756167,1
4.276049667,0
4.276304750,1
4.276596083,0
4.276847917,1
4.277135917,0
4.277383667,1
4.277667583,0
4.277913000,1
4.278193250,0
4.278435583,1
4.278712750,0
4.278952333,1
4.279226000,0
4.279462667,1
4.279733167,0
4.279967000,1
4.280234500,0
4.280465583,1
4.280730000,0
4.280958583,1
4.281220333,0
4.281446333,1
4.281705500,0
4.281928917,1
4.282187250,0
4.282406167,1
4.282659750,0
4.282878667,1
4.283131667,0
4.283346000,1
4.283594333,0
4.283808833,1
4.284054917,0
4.284267167,1
4.284510833,0
4.284720917,1
4.284962250,0
4.285170583,1
4.285409583,0
4.285615750,1
4.285853833,0
4.286056917,1
4.286291583,0
4.286494083,1
4.286726833,0
4.286927333,1
4.287158000,0
4.287357000,1
4.287585583,0
4.287783000,1
4.288009583,0
4.288205000,1
4.288429667,0
4.288623750,1
4.288846667,0
4.289039000,1
4.289259917,0
4.289450750,1
4.289670083,0
4.289859250,1
4.290076833,0
4.290264750,1
4.290480583,0
4.290666833,1
4.290881000,0
4.291066000,1
4.291278667,0
4.291462167,1
4.291673083,0
4.291855167,1
4.292064917,0
4.292245417,1
4.292453667,0
4.292632833,1
4.292840000,0
4.293017500,1
4.293223167,0
4.293399417,1
4.293604167,0
4.293778500,1
4.293983750,0
4.294155250,1
4.294358167,0
4.294529333,1
4.294731167,0
4.294900917,1
4.295102000,0
4.295271167,1
4.295470333,0
4.295636917,1
4.295836250,0
4.296001333,1
4.296199750,0
4.296363500,1
4.296561250,0
4.296723250,1
4.296920250,0
4.297080917,1
4.297277167,0
4.297436417,1
4.297632500,0
4.297789583,1
4.297984250,0
4.298141000,1
4.298336667,0
4.298490250,1
4.298683750,0
4.298837500,1
4.299029250,0
4.299182750,1
4.299373667,0
4.299526250,1
4.299716083,0
4.299867833,1
4.300058667,0
4.300207500,1
4.300395417,0
4.300545417,1
4.300732500,0
4.300881250,1
4.301067250,0
4.301215583,1
4.301400583,0
4.301548000,1
4.301732083,0
4.301878750,1
4.302062083,0
4.302209417,1
4.302390833,0
4.302535417,1
4.302717167,0
4.302861250,1
4.303042250,0
4.303185583,1
4.303365583,0
4.303508250,1
4.303687333,0
4.303829250,1
4.304007417,0
4.304148750,1
4.304325917,0
4.304466667,1
4.304644583,0
4.304783250,1
4.304959000,0
4.305098250,1
4.305273083,0
4.305411667,1
4.305585833,0
4.305723917,1
4.305896917,0
4.306034750,1
4.306206750,0
4.306344333,1
4.306515167,0
4.306652500,1
4.306822083,0
4.306959333,1
4.307127583,0
4.307264833,1
4.307432333,0
4.307569000,1
4.307736917,0
4.307871917,1
4.308036750,0
4.308173583,1
4.308337083,0
4.308474000,1
4.308636333,0
4.308773167,1
4.308934333,0
4.309071083,1
4.309231000,0
4.309367750,1
4.309526583,0
4.309663333,1
4.309820917,0
4.309957417,1
4.310115333,0
4.310250417,1
4.310406583,0
4.310542333,1
4.310697417,0
4.310832917,1
4.310987583,0
4.311122500,1
4.311276500,0
4.311410833,1
4.311564333,0
4.311698250,1
4.311851000,0
4.311984417,1
4.312136667,0
4.312269583,1
4.312421333,0
4.312553750,1
4.312706500,0
4.312836917,1
4.312987417,0
4.313119000,1
4.313270000,0
4.313400000,1
4.313549583,0
4.313680167,1
4.313829083,0
4.313959250,1
4.314107667,0
4.314237417,1
4.314385417,0
4.314514583,1
4.314663083,0
4.314790833,1
4.314937833,0
4.315066083,1
4.315212667,0
4.315340583,1
4.315486583,0
4.315614083,1
4.315760083,0
4.315886667,1
4.316031667,0
4.316158167,1
4.316302833,0
4.316428917,1
4.316573083,0
4.316700750,1
4.316842500,0
4.316967833,1
4.317111167,0
4.317236000,1
4.317378750,0
4.317503333,1
4.317645750,0
4.317769750,1
4.317911833,0
4.318035417,1
4.318176917,0
4.318300167,1
4.318441333,0
4.318564167,1
4.318704917,0
4.318827417,1
4.318967750,0
4.319089750,1
4.319231583,0
4.319351250,1
4.319490667,0
4.319612167,1
4.319751167,0
4.319872167,1
4.320012667,0
4.320131583,1
4.320269833,0
4.320390083,1
4.320528083,0
4.320647833,1
4.320785500,0
4.320905083,1
4.321042250,0
4.321161500,1
4.321298167,0
4.321417000,1
4.321553500,0
4.321672000,1
4.321808083,0
4.321926250,1
4.322061833,0
4.322179833,1
4.322316167,0
4.322432417,1
4.322567333,0
4.322684583,1
4.322819250,0
4.322936083,1
4.323070417,0
4.323186833,1
4.323320833,0
4.323437167,1
4.323570667,0
4.323687333,1
4.323819750,0
4.323935333,1
4.324068167,0
4.324183500,1
4.324316083,0
4.324431000,1
4.324563333,0
4.324677833,1
4.324809750,0
4.324924167,1
4.325055833,0
4.325169833,1
4.325301083,0
4.325414917,1
4.325545917,0
4.325659333,1
4.325790000,0
4.325903250,1
4.326033583,0
4.326146583,1
4.326276667,0
4.326389167,1
4.326518917,0
4.326631167,1
4.326760833,0
4.326874667,1
4.327001833,0
4.327113667,1
4.327242500,0
4.327354000,1
4.327482500,0
4.327593750,1
4.327722000,0
4.327833000,1
4.327961000,0
4.328071667,1
4.328199333,0
4.328309833,1
4.328437250,0
4.328547333,1
4.328674583,0
4.328785667,1
4.328911667,0
4.329021000,1
4.329150083,0
4.329258417,1
4.329384500,0
4.329492250,1
4.329618333,0
4.329727250,1
4.329853000,0
4.329963500,1
4.330087083,0
4.330195500,1
4.330322417,0
4.330428917,1
4.330553833,0
4.330661917,1
4.330787250,0
4.330894167,1
4.331018833,0
4.331126167,1
4.331250417,0
4.331358000,1
4.331481667,0
4.331588583,1
4.331712500,0
4.331819083,1
4.331942583,0
4.332049000,1
4.332172250,0
4.332279750,1
4.332401500,0
4.332507417,1
4.332630167,0
4.332735917,1
4.332858417,0
4.332964000,1
4.333086250,0
4.333191750,1
4.333313750,0
4.333418833,1
4.333540667,0
4.333645750,1
4.333767333,0
4.333872167,1
4.333994167,0
4.334098167,1
4.334219250,0
4.334323500,1
4.334444333,0
4.334548667,1
4.334669167,0
4.334773250,1
4.334893583,0
4.334997333,1
4.335117417,0
4.335221000,1
4.335340917,0
4.335444333,1
4.335564083,0
4.335667167,1
4.335786750,0
4.335889667,1
4.336008833,0
4.336111833,1
4.336230750,0
4.336333667,1
4.336452583,0
4.336555167,1
4.336673417,0
4.336775917,1
4.336894250,0
4.336996500,1
4.337114583,0
4.337216583,1
4.337334500,0
4.337436417,1
4.337553917,0
4.337656417,1
4.337773167,0
4.337875250,1
4.337991667,0
4.338093000,1
4.338210000,0
4.338311167,1
4.338428000,0
4.338529000,1
4.338645583,0
4.338746500,1
4.338862833,0
4.338963667,1
4.339079833,0
4.339180417,1
4.339296417,0
4.339397417,1
4.339514417,0
4.339613000,1
4.339730417,0
4.339828667,1
4.339944000,0
4.340044000,1
4.340159083,0
4.340259000,1
4.340373833,0
4.340473500,1
4.340590167,0
4.340687667,1
4.340802167,0
4.340901667,1
4.341015917,0
4.341115250,1
4.341229333,0
4.341328500,1
4.341442417,0
4.341541500,1
4.341655250,0
4.341754083,1
4.341867667,0
4.341966417,1
4.342079750,0
4.342178417,1
4.342291750,0
4.342390083,1
4.342503083,0
4.342601333,1
4.342715083,0
4.342812250,1
4.342925000,0
4.343023083,1
4.343135583,0
4.343233333,1
4.343345667,0
4.343443333,1
4.343555583,0
4.343653000,1
4.343766000,0
4.343862583,1
4.343974500,0
4.344071833,1
4.344183500,0
4.344280583,1
4.344392167,0
4.344489333,1
4.344600750,0
4.344697667,1
4.344808917,0
4.344905583,1
4.345016667,0
4.345113333,1
4.345224167,0
4.345320667,1
4.345431500,0
4.345527833,1
4.345638417,0
4.345736750,1
4.345845000,0
4.345941583,1
4.346051417,0
4.346147500,1
4.346259000,0
4.346353417,1
4.346463583,0
4.346559083,1
4.346668917,0
4.346764583,1
4.346874250,0
4.346969917,1
4.347079333,0
4.347174833,1
4.347284167,0
4.347379583,1
4.347488667,0
4.347583917,1
4.347693000,0
4.347788167,1
4.347897250,0
4.347992083,1
4.348102083,0
4.348195667,1
4.348304083,0
4.348399000,1
4.348507250,0
4.348602000,1
4.348710167,0
4.348804833,1
4.348912917,0
4.349007333,1
4.349115250,0
4.349209750,1
4.349317500,0
4.349411917,1
4.349519500,0
4.349613750,1
4.349721250,0
4.349815417,1
4.349922750,0
4.350016750,1
4.350124083,0
4.350218000,1
4.350325167,0
4.350418833,1
4.350527667,0
4.350619417,1
4.350726333,0
4.350819833,1
4.350926667,0
4.351020000,1
4.351126667,0
4.351219917,1
4.351327917,0
4.351419583,1
4.351526000,0
4.351619083,1
4.351725333,0
4.351818417,1
4.351924500,0
4.352017500,1
4.352123500,0
4.352216333,1
4.352322167,0
4.352414917,1
4.352520583,0
4.352613333,1
4.352719167,0
4.352811583,1
4.352917000,0
4.353009583,1
4.353114750,0
4.353207083,1
4.353312333,0
4.353404583,1
4.353509833,0
4.353601917,1
4.353706917,0
4.353799000,1
4.353903833,0
4.353995750,1
4.354100500,0
4.354192333,1
4.354298917,0
4.354388833,1
4.354494750,0
4.354585000,1
4.354689583,0
4.354781167,1
4.354885583,0
4.354977083,1
4.355081417,0
4.355172667,1
4.355277000,0
4.355368083,1
4.355472333,0
4.355563417,1
4.355667500,0
4.355758417,1
4.355862500,0
4.355953333,1
4.356059917,0
4.356147833,1
4.356251667,0
4.356342250,1
4.356445917,0
4.356536500,1
4.356640250,0
4.356730500,1
4.356835333,0
4.356924500,1
4.357027917,0
4.357118083,1
4.357221417,0
4.357311583,1
4.357414833,0
4.357505000,1
4.357608167,0
4.357698167,1
4.357801583,0
4.357891083,1
4.357994083,0
4.358083833,1
4.358186833,0
4.358276500,1
4.358379250,0
4.358468917,1
4.358571750,0
4.358661167,1
4.358763667,0
4.358853000,1
4.358957167,0
4.359044917,1
4.359147333,0
4.359236500,1
4.359338917,0
4.359428000,1
4.359530333,0
4.359619417,1
4.359721500,0
4.359810500,1
4.359912667,0
4.360001500,1
4.360103583,0
4.360192417,1
4.360294333,0
4.360385000,1
4.360484917,0
4.360573500,1
4.360676000,0
4.360763833,1
4.360865583,0
4.360954000,1
4.361055667,0
4.361143917,1
4.361245417,0
4.361333667,1
4.361435000,0
4.361523333,1
4.361624583,0
4.361712667,1
4.361813917,0
4.361902000,1
4.362002917,0
4.362091000,1
4.362192000,0
4.362279917,1
4.362380917,0
4.362468917,1
4.362569583,0
4.362657500,1
4.362758250,0
4.362846083,1
4.362946583,0
4.363034417,1
4.363134917,0
4.363222667,1
4.363323083,0
4.363412000,1
4.363511083,0
4.363598500,1
4.363698667,0
4.363786250,1
4.363886250,0
4.363975250,1
4.364073833,0
4.364161167,1
4.364261000,0
4.364348250,1
4.364448000,0
4.364535333,1
4.364635000,0
4.364722167,1
4.364823833,0
4.364909083,1
4.365008667,0
4.365095750,1
4.365195083,0
4.365282083,1
4.365382750,0
4.365468583,1
4.365567750,0
4.365654917,1
4.365754083,0
4.365841083,1
4.365940083,0
4.366027000,1
4.366126083,0
4.366212750,1
4.366311583,0
4.366398417,1
4.366497250,0
4.366583917,1
4.366682667,0
4.366769333,1
4.366867917,0
4.366954333,1
4.367053083,0
4.367139417,1
4.367237833,0
4.367324333,1
4.367422750,0
4.367509167,1
4.367607417,0
4.367693750,1
4.367793833,0
4.367878250,1
4.367976417,0
