"Encoder position","Step position","Speed","Engine current","Engine voltage","Power current","Power voltage","USB current","USB voltage","Current A","Current B","Current C","Voltage A","Voltage B","Voltage C","PWM level","Temperature","Joystick","Analog input","Time","General flags","GPIO flags"
136287404,136287403,0,21,35.84,21,35.84,0,0.00,0,4,26653,0.00,0.00,0.00,-18848151.200,36.2,449,2410152176,399,0,16
136287404,136287403,0,23,35.85,23,35.85,0,0.00,0,4,26653,0.00,0.00,0.00,-18848151.200,36.4,449,2410152176,-14,0,16
136287404,136287403,0,21,35.84,21,35.84,0,0.00,14,4,-18,2.09,2.06,2.11,0.000,36.5,413,392,95,0,16
136287404,136287403,0,22,35.83,22,35.83,0,0.00,-15,-11,26,2.11,2.09,2.11,0.000,36.5,414,388,203,0,16
136287404,136287403,0,23,35.84,23,35.84,0,0.00,2,4,-6,2.06,2.06,2.06,0.000,36.5,414,387,314,0,16
136287404,136287403,0,22,35.82,22,35.82,0,0.00,2,-13,11,2.06,1.92,2.06,0.000,36.5,417,389,424,0,16
136287404,136287403,0,24,35.84,24,35.84,0,0.00,6,10,-16,2.06,1.92,2.09,0.000,36.4,415,387,534,0,16
136287404,136287403,0,23,35.84,23,35.84,0,0.00,-11,4,7,2.13,2.06,2.11,0.000,36.5,413,388,644,0,16
136287404,136287403,0,23,35.83,23,35.83,0,0.00,16,18,-34,2.18,2.04,2.18,0.000,36.5,413,386,751,0,16
136287404,136287403,0,23,35.83,23,35.83,0,0.00,-11,-17,28,2.11,2.01,2.11,0.000,36.5,413,389,861,0,16
136287404,136287403,0,23,35.83,23,35.83,0,0.00,-21,-21,42,2.06,1.99,2.06,0.000,36.4,415,390,971,0,16
136287404,136287403,0,22,35.84,22,35.84,0,0.00,14,12,-26,2.06,2.03,2.08,0.000,36.5,415,392,1081,0,16
136287404,136287403,0,20,35.84,20,35.84,0,0.00,4,2,-6,2.11,2.11,2.11,0.000,36.5,414,387,1177,0,16
136287404,136287403,0,23,35.83,23,35.83,0,0.00,-19,4,5,2.03,2.01,2.03,0.000,36.5,411,384,1287,0,16
136287404,136287403,0,24,35.83,24,35.83,0,0.00,4,12,-16,2.03,2.03,2.03,0.000,36.4,415,387,1398,0,16
136287404,136287403,0,24,35.84,24,35.84,0,0.00,8,0,-8,2.11,2.11,2.11,0.000,36.5,416,391,1509,0,16
136287404,136287403,0,22,35.84,22,35.84,0,0.00,-5,-9,14,2.11,2.08,2.11,0.000,36.5,413,387,1620,0,16
136287404,136287403,0,22,35.83,22,35.83,0,0.00,-13,-5,18,2.06,2.09,2.08,0.000,36.5,412,389,1731,0,16
136287404,136287403,0,21,35.84,21,35.84,0,0.00,8,10,-18,2.08,1.99,2.11,0.000,36.5,418,390,1841,0,16
136287404,136287403,0,24,35.84,24,35.84,0,0.00,0,2,-2,2.06,1.99,2.08,0.000,36.6,414,389,1950,0,16
136287404,136287403,0,21,35.85,21,35.85,0,0.00,8,16,-24,2.18,2.03,2.18,0.000,36.5,418,391,2059,0,16
136287404,136287403,0,22,35.82,22,35.82,0,0.00,14,2,-16,2.14,2.11,2.11,0.000,36.5,413,386,2169,0,16
136287404,136287403,0,23,35.84,23,35.84,0,0.00,-7,-11,18,2.06,2.03,2.06,0.000,36.5,415,393,2278,0,16
136287404,136287403,0,22,35.83,22,35.83,0,0.00,-15,-21,36,2.06,2.06,2.06,0.000,36.5,411,388,2385,0,16
136287404,136287403,0,22,35.83,22,35.83,0,0.00,-15,-9,24,2.06,2.06,2.06,0.000,36.6,414,389,2495,0,16
136287404,136287403,0,21,35.83,21,35.83,0,0.00,4,-3,-1,2.08,2.09,2.08,0.000,36.5,414,391,2599,0,16
136287404,136287403,0,20,35.82,20,35.82,0,0.00,6,4,-10,2.16,2.03,2.16,0.000,36.6,411,385,2711,0,16
136287404,136287403,0,22,35.84,22,35.84,0,0.00,2,-3,1,2.16,2.03,2.16,0.000,36.5,414,388,2823,0,16
136287404,136287403,0,23,35.82,23,35.82,0,0.00,20,20,-40,2.14,2.01,2.14,0.000,36.5,415,388,2927,0,16
136287404,136287403,0,23,35.82,23,35.82,0,0.00,14,16,-30,2.08,2.03,2.11,0.000,36.5,415,390,3038,0,16
136287404,136287403,0,20,35.82,20,35.82,0,0.00,0,2,-2,2.11,2.06,2.11,0.000,36.5,413,389,3152,0,16
136287404,136287403,0,22,35.83,22,35.83,0,0.00,8,12,-20,2.11,2.08,2.11,0.000,36.5,413,387,3261,0,16
136287404,136287403,0,23,35.83,23,35.83,0,0.00,-15,-13,28,2.08,2.06,2.13,0.000,36.5,416,390,3369,0,16
136287404,136287403,0,23,35.84,23,35.84,0,0.00,-15,-3,18,2.06,2.06,2.06,0.000,36.6,413,388,3479,0,16
136287404,136287403,0,23,35.84,23,35.84,0,0.00,0,-3,3,2.11,2.01,2.11,0.000,36.6,415,391,3589,0,16
136287404,136287403,0,25,35.84,25,35.84,0,0.00,14,20,-34,2.18,2.11,2.18,0.000,36.6,411,386,3698,0,16
136287404,136287403,0,23,35.85,23,35.85,0,0.00,2,-11,9,2.06,2.06,2.06,0.000,36.6,415,390,3806,0,16
136287404,136287403,0,23,35.85,23,35.85,0,0.00,-9,-11,20,2.11,2.11,2.11,0.000,36.5,413,390,3915,0,16
136287404,136287403,0,23,35.83,23,35.83,0,0.00,2,-3,1,2.08,2.06,2.13,0.000,36.6,411,388,4025,0,16
136287404,136287403,0,22,35.82,22,35.82,0,0.00,-15,-3,18,2.06,1.99,2.06,0.000,36.5,417,387,4135,0,16
136287404,136287403,0,22,35.82,22,35.82,0,0.00,-31,-29,60,2.06,2.01,2.06,0.000,36.6,413,386,4244,0,16
136287404,136287403,0,23,35.84,23,35.84,0,0.00,-9,-7,16,2.11,2.01,2.16,0.000,36.6,411,389,4354,0,16
136287404,136287403,0,22,35.82,22,35.82,0,0.00,6,2,-8,2.11,2.01,2.11,0.000,36.6,415,389,4463,0,16
136287404,136287403,0,23,35.83,23,35.83,0,0.00,2,4,-6,2.16,2.06,2.16,0.000,36.6,412,386,4572,0,16
136287404,136287403,0,22,35.83,22,35.83,0,0.00,14,-3,-11,2.08,2.08,2.08,0.000,36.6,412,388,4681,0,16
136287404,136287403,0,22,35.85,22,35.85,0,0.00,-9,-7,16,2.16,2.06,2.13,0.000,36.6,416,390,4795,0,16
136287404,136287403,0,22,35.82,22,35.82,0,0.00,-11,6,5,2.06,2.01,2.06,0.000,36.5,415,388,4903,0,16
136287404,136287403,0,24,35.84,24,35.84,0,0.00,6,6,-12,2.16,2.06,2.16,0.000,36.5,415,387,5015,0,16
136287404,136287403,0,21,35.85,21,35.85,0,0.00,4,2,-6,2.06,2.03,2.09,0.000,36.6,413,392,5124,0,16
136287404,136287403,0,22,35.83,22,35.83,0,0.00,-7,-11,18,2.06,1.92,2.06,0.000,36.6,414,388,5235,0,16
136287404,136287403,0,22,35.84,22,35.84,0,0.00,-7,-7,14,2.09,2.09,2.06,0.000,36.6,416,391,5345,0,16
136287404,136287403,0,24,35.82,24,35.82,0,0.00,2,-21,19,2.06,2.11,2.06,0.000,36.6,414,388,5453,0,16
136287404,136287403,0,22,35.84,22,35.84,0,0.00,-21,-17,38,2.11,2.09,2.11,0.000,36.6,415,388,5564,0,16
136287404,136287403,0,24,35.84,24,35.84,0,0.00,-5,0,5,2.11,2.03,2.11,0.000,36.6,415,390,5672,0,16
136287404,136287403,0,22,35.83,22,35.83,0,0.00,-3,-5,8,2.08,2.08,2.08,0.000,36.6,412,387,5782,0,16
136287404,136287403,0,22,35.84,22,35.84,0,0.00,-5,8,-3,2.14,2.06,2.14,0.000,36.6,413,389,5888,0,16
136287404,136287403,0,21,35.83,21,35.83,0,0.00,6,2,-8,2.11,2.01,2.11,0.000,36.6,413,388,6000,0,16
136287404,136287403,0,22,35.83,22,35.83,0,0.00,-7,-5,12,2.06,2.01,2.06,0.000,36.6,417,389,6111,0,16
