"Encoder position","Step position","Speed","Engine current","Engine voltage","Power current","Power voltage","USB current","USB voltage","Current A","Current B","Current C","Voltage A","Voltage B","Voltage C","PWM level","Temperature","Joystick","Analog input","Time","General flags","GPIO flags"
0,0,0,25,35.84,25,35.84,0,0.00,-5,-11,16,2.06,1.99,2.06,0.000,43.4,462,440,-1,0,16
0,0,0,23,35.83,23,35.83,0,0.00,-9,0,9,2.08,2.06,2.08,0.000,43.4,460,437,93,0,16
0,0,0,22,35.84,22,35.84,0,0.00,8,10,-18,2.16,2.03,2.16,0.000,43.4,461,440,208,0,16
0,0,0,20,35.83,20,35.83,0,0.00,14,8,-22,2.18,2.11,2.18,0.000,43.4,458,438,313,0,16
0,0,0,23,35.82,23,35.82,0,0.00,0,-5,5,2.08,2.06,2.08,0.000,43.4,462,438,424,0,16
0,0,0,20,35.83,20,35.83,0,0.00,6,16,-22,2.11,2.23,2.11,0.000,43.4,461,439,532,0,16
0,0,0,23,35.83,23,35.83,0,0.00,-11,-11,22,2.11,2.01,2.11,0.000,43.4,461,441,644,0,16
0,0,0,21,35.84,21,35.84,0,0.00,-7,-9,16,2.11,2.11,2.16,0.000,43.4,461,440,752,0,16
0,0,0,19,35.82,19,35.82,0,0.00,14,14,-28,2.25,2.11,2.23,0.000,43.4,459,438,865,0,16
0,0,0,23,35.82,23,35.82,0,0.00,0,2,-2,2.06,2.03,2.06,0.000,43.4,459,436,976,0,16
0,12,1,384,35.69,384,35.69,0,0.00,-667,1212,-545,10.13,11.76,28.99,0.000,41.1,1606,1338,1087,0,16
0,32,0,620,35.69,620,35.69,0,0.00,-663,1204,-541,10.13,11.86,29.05,0.000,39.7,1596,1318,1196,0,16
0,-309,-22,693,35.68,693,35.68,0,0.00,30,1015,-1045,17.68,5.94,27.39,0.000,40.0,1323,1100,1308,0,16
0,-386,7,711,35.66,711,35.66,0,0.00,28,1005,-1033,17.56,5.82,27.39,0.000,40.1,1315,1094,1416,0,16
1538,759,72,570,35.68,570,35.68,0,0.00,406,-1060,654,21.32,23.77,5.65,0.000,38.8,2349,2030,1527,0,16
6121,4132,160,676,35.67,676,35.67,0,0.00,-9,-1006,1015,17.19,27.21,6.39,0.000,39.0,2398,2053,1636,0,16
13766,9769,243,731,35.67,731,35.67,0,0.00,-536,1202,-666,11.55,9.52,29.83,0.000,39.3,1379,1170,1746,0,16
23459,17366,309,745,35.67,745,35.67,0,0.00,-1078,934,144,5.14,18.43,27.36,0.000,39.3,1495,1234,1855,0,16
33734,26692,374,745,35.67,745,35.67,0,0.00,1182,-399,-783,30.00,8.51,12.57,0.000,39.0,2083,1834,1964,0,16
43199,37653,431,741,35.66,741,35.66,0,0.00,1041,-31,-1010,28.60,5.87,16.56,0.000,39.0,2009,1779,2074,0,16
52306,49396,443,455,35.73,455,35.73,0,0.00,-573,1053,-480,10.78,11.45,28.66,0.000,39.2,1566,1369,2183,0,16
63401,61502,455,360,35.79,360,35.79,0,0.00,-220,-516,736,14.45,25.14,11.33,0.000,39.1,1886,1509,2293,0,16
75689,73575,479,590,35.70,590,35.70,0,0.00,1108,-162,-946,29.31,6.87,14.90,0.000,39.1,2021,1750,2401,0,16
89249,87093,521,698,35.68,698,35.68,0,0.00,483,-1098,615,22.37,24.31,3.97,0.000,39.1,2079,1668,2512,0,16
103544,101436,560,716,35.69,716,35.69,0,0.00,370,-1086,716,21.15,25.28,4.16,0.000,39.1,2030,1623,2621,0,16
118843,116710,594,711,35.69,711,35.69,0,0.00,987,48,-1035,28.27,5.48,17.17,0.000,39.1,2017,1748,2730,0,16
135025,132911,622,682,35.68,682,35.68,0,0.00,-1010,193,817,4.68,26.51,19.85,0.000,39.2,1651,1390,2840,0,16
151709,149661,649,699,35.69,699,35.69,0,0.00,271,811,-1082,20.78,4.26,25.94,0.000,39.1,1880,1676,2949,0,16
169033,166932,673,690,35.69,690,35.69,0,0.00,1148,-534,-614,30.17,10.39,10.37,0.000,39.0,2072,1724,3057,0,16
186976,184885,692,656,35.68,656,35.68,0,0.00,1102,-307,-795,29.87,8.02,13.08,0.000,39.1,2050,1718,3166,0,16
205147,203092,707,662,35.68,662,35.68,0,0.00,1061,-218,-843,29.58,7.31,14.09,0.000,39.1,2020,1696,3274,0,16
224307,222292,726,691,35.68,691,35.68,0,0.00,-816,1061,-245,7.51,13.97,29.46,0.000,39.2,1689,1511,3385,0,16
243635,241619,744,696,35.67,696,35.67,0,0.00,364,-1044,680,21.32,25.26,4.28,0.000,39.1,1939,1549,3494,0,16
263551,261542,760,685,35.69,685,35.69,0,0.00,-297,1087,-790,14.16,7.32,29.59,0.000,39.2,1788,1593,3604,0,16
284152,282167,770,638,35.72,638,35.72,0,0.00,1013,-387,-626,29.36,9.86,12.03,0.000,39.1,1984,1638,3715,0,16
304461,302501,781,654,35.71,654,35.71,0,0.00,-186,-776,962,14.43,28.61,7.64,0.000,39.1,1827,1481,3825,0,16
325666,323687,792,667,35.68,667,35.68,0,0.00,-984,122,862,4.56,26.57,19.39,0.000,39.1,1684,1446,3937,0,16
346527,344621,804,672,35.69,672,35.69,0,0.00,-855,795,60,6.54,17.17,27.11,0.000,39.2,1699,1505,4046,0,16
367642,365757,796,537,35.73,537,35.73,0,0.00,-5,846,-841,17.83,5.99,27.01,0.000,39.2,1831,1601,4156,0,16
391448,389582,805,624,35.72,624,35.72,0,0.00,606,-851,245,24.21,20.96,5.77,0.000,39.1,1938,1555,4280,0,16
412377,410505,797,546,35.72,546,35.72,0,0.00,-452,-553,1005,11.01,28.88,10.74,0.000,39.1,1766,1453,4389,0,16
433107,431260,804,623,35.71,623,35.71,0,0.00,-867,749,118,6.16,18.14,26.60,0.000,39.2,1688,1488,4497,0,16
454036,452190,797,545,35.72,545,35.72,0,0.00,-63,866,-803,17.10,6.26,27.45,0.000,39.2,1828,1604,4606,0,16
474777,472947,803,620,35.70,620,35.70,0,0.00,934,-365,-569,28.51,10.42,11.93,0.000,39.1,1993,1643,4714,0,16
495322,493499,799,552,35.72,552,35.72,0,0.00,-146,-740,886,14.87,28.05,7.92,0.000,39.2,1815,1474,4821,0,16
516251,514429,802,617,35.69,617,35.69,0,0.00,-915,225,690,5.14,25.14,20.47,0.000,39.2,1681,1446,4930,0,16
537170,535380,799,543,35.71,543,35.71,0,0.00,-587,942,-355,10.00,12.59,28.51,0.000,39.2,1722,1524,5039,0,16
557912,556116,802,602,35.68,602,35.68,0,0.00,705,201,-906,26.21,5.34,19.37,0.000,39.2,1967,1668,5147,0,16
579028,577252,798,548,35.70,548,35.70,0,0.00,948,-230,-718,28.58,8.68,13.69,0.000,39.1,1988,1648,5257,0,16
600340,598574,802,598,35.71,598,35.71,0,0.00,815,-820,5,27.11,17.22,6.54,0.000,39.2,1974,1589,5367,0,16
621466,619704,799,561,35.69,561,35.69,0,0.00,191,-883,692,19.15,25.84,5.90,0.000,39.1,1870,1502,5478,0,16
642581,640817,801,586,35.69,586,35.69,0,0.00,-285,-661,946,13.01,28.88,8.98,0.000,39.2,1793,1462,5588,0,16
663510,661787,801,561,35.71,561,35.71,0,0.00,-895,574,321,5.65,20.46,24.60,0.000,39.2,1680,1465,5697,0,16
684823,683083,800,574,35.71,574,35.71,0,0.00,-704,860,-156,8.51,14.43,28.00,0.000,39.2,1712,1509,5808,0,16
705751,704036,801,569,35.72,569,35.72,0,0.00,225,705,-930,20.51,5.04,25.33,0.000,39.2,1869,1623,5917,0,16
727064,725356,800,576,35.70,576,35.70,0,0.00,616,267,-883,25.31,5.55,20.07,0.000,39.1,1944,1647,6028,0,16
747992,746276,800,585,35.70,585,35.70,0,0.00,942,-784,-158,28.56,15.26,7.04,0.000,39.1,2002,1618,6137,0,16
768921,767247,801,573,35.72,573,35.72,0,0.00,90,-824,734,17.95,26.23,6.70,0.000,39.2,1851,1493,6246,0,16
790037,788333,799,584,35.69,584,35.69,0,0.00,-704,-311,1015,7.63,29.07,13.82,0.000,39.2,1725,1439,6356,0,16
811349,809702,803,576,35.72,576,35.72,0,0.00,-800,80,720,6.58,25.31,18.90,0.000,39.1,1699,1445,6467,0,16
832082,830403,797,564,35.70,564,35.70,0,0.00,-432,1069,-637,12.48,8.66,29.75,0.000,39.2,1768,1570,6575,0,16
853394,851754,802,586,35.72,586,35.72,0,0.00,-5,767,-762,17.78,6.68,26.29,0.000,39.2,1836,1603,6686,0,16
874520,872865,800,571,35.71,571,35.71,0,0.00,801,120,-921,27.41,5.26,18.34,0.000,39.2,1959,1654,6796,0,16
892951,891320,800,579,35.72,579,35.72,0,0.00,80,783,-863,18.73,5.78,26.36,0.000,39.2,1844,1611,6892,0,16
914067,912447,800,542,35.71,542,35.71,0,0.00,755,118,-873,26.57,6.49,18.00,0.000,39.1,1954,1644,7002,0,16
934996,933369,800,592,35.71,592,35.71,0,0.00,838,-802,-36,27.21,17.46,6.38,0.000,39.1,1978,1594,7111,0,16
954554,953703,744,192,35.83,192,35.83,0,0.00,116,-9,-107,16.63,17.00,17.33,0.000,39.1,1771,1474,7221,0,16
972867,973353,621,62,35.82,62,35.82,0,0.00,-17,18,-1,18.17,16.38,16.41,0.000,39.2,1801,1515,7345,0,16
985921,986724,436,250,35.78,250,35.78,0,0.00,136,380,-516,18.10,12.25,20.51,0.000,39.2,1734,1458,7456,0,16
995588,996178,350,183,35.80,183,35.80,0,0.00,427,-881,454,21.29,21.29,8.15,0.000,39.1,1907,1561,7564,0,16
1002352,1002881,212,235,35.83,235,35.83,0,0.00,6,6,-12,17.27,16.66,17.21,0.000,39.2,1806,1526,7674,0,16
1006217,1006819,82,321,35.73,321,35.73,0,0.00,102,-726,624,18.22,23.27,9.40,0.000,39.0,2265,1908,7796,0,16
1006705,1007176,-9,302,35.78,302,35.78,0,0.00,-387,560,-173,12.96,14.79,22.91,0.000,39.0,1798,1521,7891,0,16
1006705,1007155,-6,277,35.77,277,35.77,0,0.00,-502,761,-259,11.71,14.11,25.13,0.000,39.2,1679,1400,8000,0,16
1006705,1007185,4,168,35.82,168,35.82,0,0.00,114,-154,40,18.17,17.22,15.40,0.000,39.2,1767,1462,8109,0,16
1006705,1007158,-1,70,35.83,70,35.83,0,0.00,28,-71,43,17.46,16.95,16.38,0.000,39.2,1830,1534,8233,0,16
1006705,1007142,-1,44,35.83,44,35.83,0,0.00,56,-95,39,17.65,17.22,16.00,0.000,39.1,1849,1531,8343,0,16
1006705,1007127,-1,41,35.83,41,35.83,0,0.00,64,-127,63,17.77,17.34,15.70,0.000,39.1,1851,1537,8451,0,16
1006705,1007111,0,42,35.83,42,35.83,0,0.00,70,-121,51,17.85,17.46,15.68,0.000,39.1,1824,1524,8562,0,16
1006705,1007096,-1,42,35.82,42,35.82,0,0.00,80,-133,53,17.78,17.31,15.62,0.000,39.2,1768,1473,8670,0,16
1006705,1007081,0,42,35.83,42,35.83,0,0.00,70,-125,55,17.93,17.41,15.77,0.000,39.2,1783,1508,8780,0,16
1006705,1007067,-1,40,35.83,40,35.83,0,0.00,78,-97,19,17.75,17.55,15.92,0.000,39.2,1820,1519,8889,0,16
1006705,1007053,-1,41,35.82,41,35.82,0,0.00,40,-135,95,17.77,17.41,15.80,0.000,39.2,1770,1494,8998,0,16
1006705,1007040,-1,39,35.84,39,35.84,0,0.00,66,-125,59,17.71,17.44,15.70,0.000,39.2,1762,1464,9110,0,16
1006705,1007027,0,40,35.82,40,35.82,0,0.00,54,-113,59,17.68,17.55,15.78,0.000,39.1,1785,1479,9219,0,16
1006705,1007015,0,40,35.82,40,35.82,0,0.00,62,-113,51,17.68,17.61,15.65,0.000,39.2,1806,1502,9328,0,16
1006705,1007001,0,41,35.82,41,35.82,0,0.00,54,-113,59,17.56,17.46,15.84,0.000,39.1,1802,1518,9454,0,16
1006705,1006990,0,41,35.83,41,35.83,0,0.00,46,-117,71,17.61,17.61,15.78,0.000,39.1,1836,1529,9564,0,16
1006705,1006980,0,40,35.83,40,35.83,0,0.00,48,-113,65,17.51,17.49,15.82,0.000,39.2,1769,1468,9672,0,16
1006705,1006969,0,42,35.84,42,35.84,0,0.00,48,-119,71,17.56,17.48,15.80,0.000,39.2,1763,1477,9784,0,16
1006705,1006959,0,41,35.82,41,35.82,0,0.00,34,-117,83,17.48,17.68,15.73,0.000,39.1,1831,1519,9893,0,16
1006705,1006949,0,40,35.83,40,35.83,0,0.00,48,-101,53,17.51,17.41,15.94,0.000,39.2,1756,1473,10004,0,16
1006705,1006940,0,39,35.82,39,35.82,0,0.00,8,-127,119,17.49,17.58,15.87,0.000,39.1,1763,1455,10112,0,16
1006705,1006931,0,39,35.82,39,35.82,0,0.00,30,-105,75,17.48,17.73,15.85,0.000,39.0,1818,1511,10222,0,16
1006705,1006923,0,37,35.83,37,35.83,0,0.00,32,-127,95,17.41,17.82,15.72,0.000,39.1,1843,1524,10330,0,16
1006705,1006914,0,41,35.83,41,35.83,0,0.00,8,-127,119,17.29,17.68,15.80,0.000,39.1,1856,1523,10441,0,16
1006705,1006906,0,39,35.83,39,35.83,0,0.00,28,-105,77,17.36,17.66,15.87,0.000,39.1,1862,1518,10549,0,16
1006705,1006899,0,39,35.83,39,35.83,0,0.00,36,-103,67,17.43,17.82,15.87,0.000,39.1,1824,1522,10656,0,16
1006705,1006891,0,38,35.83,38,35.83,0,0.00,38,-97,59,17.36,17.77,15.84,0.000,39.1,1837,1522,10776,0,16
1006705,1006884,0,42,35.83,42,35.83,0,0.00,18,-103,85,17.34,17.61,15.99,0.000,39.1,1760,1454,10878,0,16
1006705,1006877,0,40,35.84,40,35.84,0,0.00,14,-105,91,17.41,17.55,16.09,0.000,39.2,1792,1508,10987,0,16
1006705,1006871,0,39,35.82,39,35.82,0,0.00,20,-107,87,17.41,17.80,15.99,0.000,39.1,1800,1505,11096,0,16
1006705,1006864,0,39,35.82,39,35.82,0,0.00,14,-97,83,17.24,17.51,16.02,0.000,39.2,1728,1421,11207,0,16
1006705,1006859,0,38,35.83,38,35.83,0,0.00,14,-113,99,17.27,17.78,15.85,0.000,39.2,1832,1526,11316,0,16
