Time, n - aac oeeuo?a	 "/s - aac oeeuo?a	Time, n - oeeuo? 3Ao	 "/s - oeeuo? 3Ao	
0	-129	0	-162	
1	-123	1	-157	
2	-132	2	-154	
3	-147	3	-152	
4	-155	4	-152	
5	-147	5	-152	
6	-130	6	-150	
7	-120	7	-147	
8	-124	8	-144	
9	-139	9	-143	
10	-151	10	-143	
11	-154	11	-144	
12	-142	12	-145	
13	-128	13	-144	
14	-122	14	-141	
15	-128	15	-139	
16	-144	16	-139	
17	-154	17	-140	
18	-150	18	-142	
19	-137	19	-142	
20	-125	20	-141	
21	-129	21	-139	
22	-144	22	-138	
23	-160	23	-140	
24	-165	24	-143	
25	-156	25	-145	
26	-141	26	-145	
27	-136	27	-145	
28	-146	28	-144	
29	-161	29	-145	
30	-173	30	-148	
31	-169	31	-151	
32	-150	32	-152	
33	-136	33	-151	
34	-138	34	-149	
35	-161	35	-149	
36	-179	36	-151	
37	-185	37	-155	
38	-174	38	-158	
39	-151	39	-159	
40	-142	40	-157	
41	-145	41	-155	
42	-159	42	-155	
43	-174	43	-156	
44	-171	44	-158	
45	-158	45	-159	
46	-142	46	-158	
47	-131	47	-155	
48	-141	48	-153	
49	-156	49	-152	
50	-164	50	-153	
51	-158	51	-155	
52	-136	52	-154	
53	-118	53	-150	
54	-114	54	-146	
55	-133	55	-143	
56	-151	56	-143	
57	-150	57	-144	
58	-133	58	-144	
59	-111	59	-141	
60	-104	60	-137	
61	-111	61	-133	
62	-123	62	-131	
63	-140	63	-131	
64	-138	64	-133	
65	-119	65	-132	
66	-103	66	-129	
67	-99	67	-126	
68	-108	68	-123	
69	-121	69	-122	
70	-129	70	-122	
71	-123	71	-123	
72	-100	72	-122	
73	-83	73	-118	
74	-86	74	-114	
75	-103	75	-111	
76	-118	76	-111	
77	-115	77	-112	
78	-104	78	-112	
79	-89	79	-110	
80	-82	80	-107	
81	-96	81	-105	
82	-111	82	-105	
83	-120	83	-106	
84	-116	84	-108	
85	-101	85	-108	
86	-90	86	-106	
87	-88	87	-104	
88	-101	88	-103	
89	-118	89	-104	
90	-123	90	-106	
91	-113	91	-107	
92	-97	92	-107	
93	-92	93	-106	
94	-100	94	-104	
95	-119	95	-105	
96	-137	96	-108	
97	-134	97	-111	
98	-121	98	-113	
99	-111	99	-113	
100	-112	100	-113	
101	-127	101	-114	
102	-140	102	-116	
103	-147	103	-120	
104	-144	104	-123	
105	-131	105	-125	
106	-122	106	-125	
107	-127	107	-125	
108	-144	108	-126	
109	-158	109	-129	
110	-162	110	-133	
111	-148	111	-136	
112	-131	112	-136	
113	-130	113	-135	
114	-141	114	-135	
115	-155	115	-137	
116	-162	116	-140	
117	-152	117	-142	
118	-136	118	-142	
119	-122	119	-140	
120	-127	120	-138	
121	-142	121	-138	
122	-154	122	-139	
123	-154	123	-141	
124	-143	124	-142	
125	-126	125	-141	
126	-114	126	-138	
127	-118	127	-136	
128	-136	128	-135	
129	-148	129	-136	
130	-139	130	-137	
131	-119	131	-136	
132	-100	132	-133	
133	-98	133	-128	
134	-111	134	-126	
135	-126	135	-125	
136	-133	136	-125	
137	-118	137	-126	
138	-97	138	-123	
139	-87	139	-119	
140	-90	140	-116	
141	-101	141	-113	
142	-114	142	-113	
143	-115	143	-113	
144	-98	144	-112	
145	-80	145	-110	
146	-70	146	-105	
147	-81	147	-102	
148	-98	148	-100	
149	-110	149	-101	
150	-107	150	-102	
151	-90	151	-101	
152	-74	152	-99	
153	-76	153	-96	
154	-93	154	-95	
155	-107	155	-95	
156	-112	156	-97	
157	-102	157	-99	
158	-88	158	-98	
159	-82	159	-96	
160	-90	160	-95	
161	-109	161	-96	
162	-123	162	-98	
163	-125	163	-101	
164	-113	164	-103	
165	-99	165	-104	
166	-95	166	-103	
167	-109	167	-103	
168	-132	168	-105	
169	-145	169	-109	
170	-138	170	-113	
171	-124	171	-115	
172	-116	172	-116	
173	-125	173	-116	
174	-143	174	-118	
175	-157	175	-122	
176	-157	176	-126	
177	-142	177	-129	
178	-125	178	-130	
179	-120	179	-129	
180	-132	180	-128	
181	-150	181	-130	
182	-163	182	-133	
183	-164	183	-137	
184	-149	184	-139	
185	-135	185	-140	
186	-136	186	-139	
187	-152	187	-139	
188	-170	188	-142	
189	-174	189	-146	
190	-157	190	-148	
191	-136	191	-148	
192	-125	192	-146	
193	-132	193	-144	
194	-147	194	-143	
195	-160	195	-144	
196	-153	196	-146	
197	-138	197	-146	
198	-120	198	-144	
199	-115	199	-140	
200	-126	200	-138	
201	-141	201	-137	
202	-149	202	-139	
203	-140	203	-139	
204	-121	204	-138	
205	-104	205	-135	
206	-107	206	-131	
207	-121	207	-129	
208	-133	208	-129	
209	-133	209	-130	
210	-113	210	-129	
211	-97	211	-126	
212	-94	212	-122	
213	-104	213	-119	
214	-118	214	-118	
215	-126	215	-119	
216	-117	216	-119	
217	-101	217	-118	
218	-88	218	-115	
219	-88	219	-112	
220	-102	220	-110	
221	-116	221	-110	
222	-124	222	-111	
223	-113	223	-112	
224	-95	224	-111	
225	-89	225	-109	
226	-100	226	-107	
227	-122	227	-107	
228	-134	228	-110	
229	-131	229	-113	
230	-115	230	-114	
231	-104	231	-113	
232	-108	232	-112	
233	-125	233	-113	
234	-143	234	-116	
235	-147	235	-119	
236	-138	236	-122	
237	-124	237	-123	
238	-117	238	-123	
239	-125	239	-122	
240	-145	240	-124	
241	-165	241	-128	
242	-168	242	-132	
243	-156	243	-136	
244	-143	244	-138	
245	-142	245	-138	
246	-156	246	-139	
247	-176	247	-142	
248	-189	248	-147	
249	-182	249	-152	
250	-166	250	-155	
251	-154	251	-155	
252	-159	252	-155	
253	-173	253	-157	
254	-187	254	-159	
255	-191	255	-163	
256	-180	256	-166	
257	-166	257	-167	
258	-159	258	-166	
259	-170	259	-166	
260	-188	260	-167	
261	-201	261	-171	
262	-197	262	-174	
263	-181	263	-176	
264	-163	264	-175	
265	-154	265	-173	
266	-174	266	-172	
267	-187	267	-173	
268	-190	268	-175	
269	-183	269	-176	
270	-164	270	-176	
271	-160	271	-174	
272	-163	272	-173	
273	-181	273	-173	
274	-197	274	-175	
275	-196	275	-177	
276	-183	276	-179	
277	-165	277	-178	
278	-159	278	-176	
279	-164	279	-174	
280	-180	280	-174	
281	-193	281	-176	
282	-180	282	-177	
283	-156	283	-176	
284	-142	284	-173	
285	-141	285	-169	
286	-157	286	-166	
287	-170	287	-166	
288	-171	288	-167	
289	-168	289	-167	
290	-150	290	-166	
291	-143	291	-164	
292	-148	292	-161	
293	-159	293	-160	
294	-172	294	-161	
295	-168	295	-162	
296	-158	296	-162	
297	-142	297	-161	
298	-138	298	-158	
299	-153	299	-157	
300	-172	300	-157	
301	-185	301	-160	
302	-176	302	-163	
303	-162	303	-163	
304	-156	304	-163	
305	-162	305	-162	
306	-178	306	-163	
307	-195	307	-166	
308	-197	308	-170	
309	-187	309	-172	
310	-177	310	-174	
311	-173	311	-174	
312	-185	312	-174	
313	-198	313	-176	
314	-211	314	-180	
315	-213	315	-184	
316	-203	316	-187	
317	-191	317	-188	
318	-193	318	-188	
319	-211	319	-190	
320	-221	320	-193	
321	-226	321	-197	
322	-215	322	-200	
323	-197	323	-200	
324	-192	324	-200	
325	-197	325	-199	
326	-210	326	-199	
327	-218	327	-201	
328	-214	328	-203	
329	-202	329	-204	
330	-191	330	-203	
331	-187	331	-201	
332	-196	332	-200	
333	-209	333	-200	
334	-213	334	-202	
335	-202	335	-202	
336	-181	336	-201	
337	-167	337	-198	
338	-167	338	-194	
339	-183	339	-192	
340	-192	340	-191	
341	-193	341	-192	
342	-179	342	-191	
343	-162	343	-189	
344	-162	344	-185	
345	-169	345	-183	
346	-180	346	-182	
347	-184	347	-182	
348	-172	348	-182	
349	-158	349	-180	
350	-145	350	-176	
351	-142	351	-172	
352	-150	352	-169	
353	-162	353	-167	
354	-167	354	-167	
355	-155	355	-167	
356	-138	356	-164	
357	-130	357	-160	
358	-138	358	-157	
359	-158	359	-156	
360	-170	360	-157	
361	-166	361	-159	
362	-154	362	-159	
363	-139	363	-157	
364	-140	364	-155	
365	-154	365	-154	
366	-164	366	-155	
367	-171	367	-156	
368	-166	368	-158	
369	-155	369	-158	
370	-149	370	-157	
371	-154	371	-156	
372	-173	372	-157	
373	-191	373	-160	
374	-197	374	-165	
375	-184	375	-168	
376	-172	376	-169	
377	-169	377	-169	
378	-180	378	-169	
379	-200	379	-172	
380	-209	380	-176	
381	-203	381	-180	
382	-191	382	-182	
383	-182	383	-182	
384	-184	384	-182	
385	-199	385	-183	
386	-213	386	-186	
387	-220	387	-190	
388	-213	388	-193	
389	-201	389	-195	
390	-195	390	-195	
391	-200	391	-195	
392	-213	392	-197	
393	-225	393	-199	
394	-227	394	-203	
395	-213	395	-205	
396	-199	396	-205	
397	-196	397	-204	
398	-207	398	-203	
399	-221	399	-205	
400	-225	400	-207	
401	-215	401	-209	
402	-203	402	-209	
403	-193	403	-207	
404	-195	404	-206	
405	-206	405	-205	
406	-216	406	-206	
407	-214	407	-207	
408	-201	408	-207	
409	-182	409	-205	
410	-172	410	-202	
411	-176	411	-198	
412	-188	412	-196	
413	-197	413	-196	
414	-193	414	-196	
415	-177	415	-195	
416	-163	416	-192	
417	-163	417	-188	
418	-175	418	-186	
419	-187	419	-185	
420	-190	420	-186	
421	-180	421	-186	
422	-165	422	-184	
423	-156	423	-181	
424	-157	424	-178	
425	-168	425	-176	
426	-178	426	-176	
427	-177	427	-176	
428	-167	428	-176	
429	-154	429	-174	
430	-150	430	-171	
431	-158	431	-169	
432	-175	432	-169	
433	-187	433	-170	
434	-184	434	-172	
435	-171	435	-173	
436	-160	436	-172	
437	-165	437	-171	
438	-179	438	-171	
439	-192	439	-173	
440	-194	440	-175	
441	-186	441	-177	
442	-175	442	-177	
443	-174	443	-177	
444	-183	444	-177	
445	-199	445	-179	
446	-212	446	-182	
447	-214	447	-186	
448	-207	448	-189	
449	-198	449	-190	
450	-198	450	-191	
451	-211	451	-193	
452	-226	452	-196	
453	-231	453	-200	
454	-221	454	-203	
455	-208	455	-205	
456	-201	456	-204	
457	-209	457	-204	
458	-223	458	-206	
459	-235	459	-209	
460	-236	460	-212	
461	-226	461	-214	
462	-215	462	-215	
463	-213	463	-215	
464	-220	464	-215	
465	-230	465	-216	
466	-238	466	-218	
467	-233	467	-221	
468	-218	468	-221	
469	-206	469	-220	
